method,dataset,sparsity,seed,round,test_accuracy,test_loss,avg_train_loss,cka_computed,pruned_weights,regrown_weights,mask_changes,total_sparsity,active_params,total_params,layer_sparsity,layer_cka,layer_target_sparsity,sparsity_conv1_weight,sparsity_conv2_weight,sparsity_fc1_weight,sparsity_fc2_weight,cka_conv1,cka_conv2,cka_fc1,target_sparsity_conv1_weight,target_sparsity_conv2_weight,target_sparsity_fc1_weight,target_sparsity_fc2_weight
cka_feddst,mnist,0.9,42,1,0.098,2.3033218368530273,2.1910110861261685,0,0,0,0,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,,,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625,,,,,,,
cka_feddst,mnist,0.9,42,2,0.098,2.3042327220916747,2.190964924720923,1,8429,8424,16853,0.9000113903865138,42136,421408,conv1.weight:0.899306;conv2.weight:0.899251;fc1.weight:0.900034;fc2.weight:0.903906,conv1:1.000000;conv2:0.999809;fc1:0.961743,conv1.weight:0.899306;conv2.weight:0.899251;fc1.weight:0.900034,0.8993055555555556,0.8992513020833334,0.9000343789859694,0.90390625,1.0,0.9998089075088501,0.9617432355880737,0.8993055555555556,0.8992513020833334,0.9000343789859694,
cka_feddst,mnist,0.9,42,3,0.098,2.3064426696777343,2.155969302223126,0,0,0,0,0.9000113903865138,42136,421408,conv1.weight:0.899306;conv2.weight:0.899251;fc1.weight:0.900034;fc2.weight:0.903906,conv1:1.000000;conv2:0.999809;fc1:0.961743,conv1.weight:0.899306;conv2.weight:0.899251;fc1.weight:0.900034,0.8993055555555556,0.8992513020833334,0.9000343789859694,0.90390625,1.0,0.9998089075088501,0.9617432355880737,0.8993055555555556,0.8992513020833334,0.9000343789859694,
cka_feddst,mnist,0.9,42,4,0.1028,2.348040043258667,1.9210116748412451,1,8427,8427,16854,0.9000113903865138,42136,421408,conv1.weight:0.899306;conv2.weight:0.899794;fc1.weight:0.900009;fc2.weight:0.903906,conv1:0.999949;conv2:0.999915;fc1:0.990164,conv1.weight:0.899306;conv2.weight:0.899794;fc1.weight:0.900009,0.8993055555555556,0.8997938368055556,0.900009466677296,0.90390625,0.9999486804008484,0.9999147653579712,0.9901639223098755,0.8993055555555556,0.8997938368055556,0.900009466677296,
cka_feddst,mnist,0.9,42,5,0.1904,2.4528141162872314,1.7387643839677176,0,0,0,0,0.9000113903865138,42136,421408,conv1.weight:0.899306;conv2.weight:0.899794;fc1.weight:0.900009;fc2.weight:0.903906,conv1:0.999949;conv2:0.999915;fc1:0.990164,conv1.weight:0.899306;conv2.weight:0.899794;fc1.weight:0.900009,0.8993055555555556,0.8997938368055556,0.900009466677296,0.90390625,0.9999486804008484,0.9999147653579712,0.9901639223098755,0.8993055555555556,0.8997938368055556,0.900009466677296,
cka_feddst,mnist,0.9,42,6,0.194,2.402874156951904,1.661911720442772,1,8427,8427,16854,0.9000113903865138,42136,421408,conv1.weight:0.899306;conv2.weight:0.899523;fc1.weight:0.900022;fc2.weight:0.903906,conv1:0.999908;conv2:0.999933;fc1:0.975342,conv1.weight:0.899306;conv2.weight:0.899523;fc1.weight:0.900022,0.8993055555555556,0.8995225694444444,0.9000219228316326,0.90390625,0.9999076724052429,0.9999328851699829,0.975341796875,0.8993055555555556,0.8995225694444444,0.9000219228316326,
cka_feddst,mnist,0.9,42,7,0.3783,2.160840503692627,1.45158001755476,0,0,0,0,0.9000113903865138,42136,421408,conv1.weight:0.899306;conv2.weight:0.899523;fc1.weight:0.900022;fc2.weight:0.903906,conv1:0.999908;conv2:0.999933;fc1:0.975342,conv1.weight:0.899306;conv2.weight:0.899523;fc1.weight:0.900022,0.8993055555555556,0.8995225694444444,0.9000219228316326,0.90390625,0.9999076724052429,0.9999328851699829,0.975341796875,0.8993055555555556,0.8995225694444444,0.9000219228316326,
cka_feddst,mnist,0.9,42,8,0.5447,1.467887684249878,0.8396816654878358,1,8427,8427,16854,0.9000113903865138,42136,421408,conv1.weight:0.899306;conv2.weight:0.898763;fc1.weight:0.900057;fc2.weight:0.903906,conv1:0.999932;conv2:0.999945;fc1:0.936689,conv1.weight:0.899306;conv2.weight:0.898763;fc1.weight:0.900057,0.8993055555555556,0.8987630208333334,0.9000568000637755,0.90390625,0.9999316930770874,0.9999449849128723,0.9366891980171204,0.8993055555555556,0.8987630208333334,0.9000568000637755,
cka_feddst,mnist,0.9,42,9,0.6639,1.0156239875793458,0.5124592318410675,0,0,0,0,0.9000113903865138,42136,421408,conv1.weight:0.899306;conv2.weight:0.898763;fc1.weight:0.900057;fc2.weight:0.903906,conv1:0.999932;conv2:0.999945;fc1:0.936689,conv1.weight:0.899306;conv2.weight:0.898763;fc1.weight:0.900057,0.8993055555555556,0.8987630208333334,0.9000568000637755,0.90390625,0.9999316930770874,0.9999449849128723,0.9366891980171204,0.8993055555555556,0.8987630208333334,0.9000568000637755,
cka_feddst,mnist,0.9,42,10,0.724,0.7511295611381531,0.3782660323838393,1,8428,8428,16856,0.9000113903865138,42136,421408,conv1.weight:0.899306;conv2.weight:0.899577;fc1.weight:0.900019;fc2.weight:0.903906,conv1:0.999994;conv2:0.999987;fc1:0.977196,conv1.weight:0.899306;conv2.weight:0.899577;fc1.weight:0.900019,0.8993055555555556,0.8995768229166666,0.9000194316007653,0.90390625,0.9999942779541016,0.9999868273735046,0.9771963953971863,0.8993055555555556,0.8995768229166666,0.9000194316007653,
cka_feddst,mnist,0.9,42,11,0.7589,0.6438577570915223,0.32686073985931774,0,0,0,0,0.9000113903865138,42136,421408,conv1.weight:0.899306;conv2.weight:0.899577;fc1.weight:0.900019;fc2.weight:0.903906,conv1:0.999994;conv2:0.999987;fc1:0.977196,conv1.weight:0.899306;conv2.weight:0.899577;fc1.weight:0.900019,0.8993055555555556,0.8995768229166666,0.9000194316007653,0.90390625,0.9999942779541016,0.9999868273735046,0.9771963953971863,0.8993055555555556,0.8995768229166666,0.9000194316007653,
