method,dataset,sparsity,seed,round,test_accuracy,test_loss,avg_train_loss,pruned_weights,regrown_weights,mask_changes,total_sparsity,active_params,total_params,layer_sparsity,sparsity_conv1_weight,sparsity_conv2_weight,sparsity_fc1_weight,sparsity_fc2_weight
feddst,mnist,0.9,42,1,0.098,2.3033218368530273,2.1910110861261685,0,0,0,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
feddst,mnist,0.9,42,2,0.098,2.3042327220916747,2.190964924720923,8429,8429,16858,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
feddst,mnist,0.9,42,3,0.098,2.3064466567993165,2.155875623124838,0,0,0,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
feddst,mnist,0.9,42,4,0.1028,2.3481137466430666,1.9211584940671922,8429,8429,16858,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
feddst,mnist,0.9,42,5,0.1888,2.4524890674591067,1.7397197536607583,0,0,0,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
feddst,mnist,0.9,42,6,0.1941,2.4049367946624756,1.6666887308160463,8429,8429,16858,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
feddst,mnist,0.9,42,7,0.3563,2.217968324279785,1.486825669437647,0,0,0,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
feddst,mnist,0.9,42,8,0.5368,1.5820165069580079,0.907179762613525,8429,8429,16858,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
feddst,mnist,0.9,42,9,0.6582,1.0762418809890748,0.5543991963639855,0,0,0,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
feddst,mnist,0.9,42,10,0.7125,0.8044545605659484,0.39816523492038247,8429,8429,16858,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
