suite,metric,method,dataset,sparsity,cka_strength,mean,std,count,seed_count,seeds
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.2,0.9129799999999999,0.019746316112125836,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.5,0.9129799999999999,0.019746316112125836,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,0.9129799999999999,0.019746316112125836,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,0.9129799999999999,0.019746316112125836,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,0.9129799999999999,0.019746316112125836,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,0.2,0.8968,0.024120219733659132,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,0.5,0.8965799999999999,0.02446971597710118,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,0.8,0.8968400000000001,0.024436100343549094,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,0.9,0.8972999999999999,0.024063769447033867,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,1.0,0.8975799999999999,0.023788904976900487,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.8,0.2,0.8827999999999999,0.021371359339078064,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.8,0.5,0.8835799999999999,0.02151980483182877,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.8,0.8,0.88432,0.021423048335846157,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.8,0.9,0.88498,0.021062454747725872,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.8,1.0,0.88662,0.021962855005668087,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.9,0.2,0.85702,0.027061540976078952,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.9,0.5,0.85692,0.02820402453551623,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.9,0.8,0.8568,0.028784978721548476,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.9,0.9,0.85954,0.026307470421916265,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.9,1.0,0.8599399999999999,0.02566063132504736,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.95,0.2,0.69082,0.1546865928256227,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.95,0.5,0.69082,0.1546865928256227,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.95,0.8,0.69082,0.1546865928256227,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.95,0.9,0.69082,0.1546865928256227,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.95,1.0,0.69082,0.1546865928256227,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,mnist,0.5,0.2,0.2764780753135681,0.053238088941929246,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,mnist,0.5,0.5,0.2764780753135681,0.053238088941929246,5,5,"7,13,21,42,100"
