suite,metric,method,dataset,sparsity,cka_strength,mean,std,count,seed_count,seeds
cka_strength,test_accuracy,cka_feddst,cifar10,0.5,0.2,0.321,0.019965595408101392,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.5,0.5,0.321,0.019965595408101392,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.5,0.8,0.321,0.019965595408101392,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.5,0.9,0.321,0.019965595408101392,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.5,1.0,0.321,0.019965595408101392,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.7,0.2,0.24134000000000003,0.022242819065936757,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.7,0.5,0.24051999999999998,0.020733957654051477,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.7,0.8,0.24106,0.02240520028921858,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.7,0.9,0.24123999999999998,0.02252027974959457,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.7,1.0,0.24063999999999997,0.021881796087158827,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.8,0.2,0.2022,0.021910271563812252,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.8,0.5,0.20274,0.018630163713719745,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.8,0.8,0.20285999999999998,0.019591401175005324,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.8,0.9,0.20166,0.021063309331631624,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.8,1.0,0.20156000000000002,0.019782896653422616,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.9,0.2,0.12524000000000002,0.029679673178793598,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.9,0.5,0.12738,0.02650522589981078,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.9,0.8,0.1251,0.023953914085176144,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.9,0.9,0.12405999999999999,0.024283904134220262,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.9,1.0,0.1306,0.02766441757926597,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.95,0.2,0.1,0.0,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.95,0.5,0.1,0.0,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.95,0.8,0.1,0.0,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.95,0.9,0.1,0.0,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,cifar10,0.95,1.0,0.1,0.0,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.5,0.2,1.8910734127044677,0.05495179313660278,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.5,0.5,1.8910734127044677,0.05495179313660278,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.5,0.8,1.8910734127044677,0.05495179313660278,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.5,0.9,1.8910734127044677,0.05495179313660278,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.5,1.0,1.8910734127044677,0.05495179313660278,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.7,0.2,2.1855903635025027,0.0669840254704833,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.7,0.5,2.1879217792129517,0.06912431241330382,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.7,0.8,2.185886364440918,0.07247991933998864,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.7,0.9,2.1843439962387086,0.072446625573494,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.7,1.0,2.1833949253463745,0.06821805971724666,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.8,0.2,2.297548638534546,0.031616967411713895,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.8,0.5,2.2958161279296876,0.02856638415966702,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.8,0.8,2.295976994667053,0.029642299615512135,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.8,0.9,2.296497301025391,0.027544005542434958,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.8,1.0,2.3004041984939576,0.02963647727083374,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.9,0.2,2.3943056183624267,0.05728337646285267,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.9,0.5,2.3962039581298824,0.07486488967588283,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.9,0.8,2.408718139953613,0.07398837003977893,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.9,0.9,2.4101948178863526,0.07376010521708,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.9,1.0,2.4144104271697997,0.08237757763483206,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.95,0.2,2.32422822593689,0.012947969209272613,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.95,0.5,2.32422822593689,0.012947969209272613,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.95,0.8,2.32422822593689,0.012947969209272613,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.95,0.9,2.32422822593689,0.012947969209272613,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,cifar10,0.95,1.0,2.32422822593689,0.012947969209272613,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.5,0.2,1.3442653293017184,0.061863057028728755,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.5,0.5,1.3442653293017184,0.061863057028728755,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.5,0.8,1.3442653293017184,0.061863057028728755,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.5,0.9,1.3442653293017184,0.061863057028728755,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.5,1.0,1.3442653293017184,0.061863057028728755,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.7,0.2,1.5316632402846306,0.06874193005470915,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.7,0.5,1.5314223185091307,0.0679959854727363,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.7,0.8,1.5302028418632467,0.06782167619507525,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.7,0.9,1.5294999980240156,0.06713968804289948,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.7,1.0,1.5288845053720954,0.06758626014185207,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.8,0.2,1.6123324663008103,0.06852351592524039,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.8,0.5,1.6120907300628797,0.0680410371859818,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.8,0.8,1.611430522679801,0.06760981163463332,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.8,0.9,1.6115949930754574,0.06797924114788502,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.8,1.0,1.6109484762981683,0.06778863209503311,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.9,0.2,1.8631163192284226,0.20855559991122846,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.9,0.5,1.8584584042840533,0.21488679753004616,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.9,0.8,1.8568017759619337,0.2134892771023662,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.9,0.9,1.8548924583541022,0.2128730176391354,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.9,1.0,1.8537670269734932,0.2113426169586292,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.95,0.2,2.235496450765205,0.0160947547767799,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.95,0.5,2.235496450765205,0.0160947547767799,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.95,0.8,2.235496450765205,0.0160947547767799,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.95,0.9,2.235496450765205,0.0160947547767799,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,cifar10,0.95,1.0,2.235496450765205,0.0160947547767799,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.5,0.2,0.5000448479686128,3.7943646560512025e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.5,0.5,0.5000448479686128,3.7943646560512025e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.5,0.8,0.5000448479686128,3.7943646560512025e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.5,0.9,0.5000448479686128,3.7943646560512025e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.5,1.0,0.5000448479686128,3.7943646560512025e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.7,0.2,0.700030974136596,2.6399959881200575e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.7,0.5,0.700030974136596,2.6399959881200575e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.7,0.8,0.700030974136596,2.6399959881200575e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.7,0.9,0.700030974136596,2.6399959881200575e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.7,1.0,0.700030974136596,2.6399959881200575e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.8,0.2,0.8000112926539673,3.498528933231236e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.8,0.5,0.8000112926539673,3.498528933231236e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.8,0.8,0.8000112926539673,3.498528933231236e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.8,0.9,0.8000112926539673,3.498528933231236e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.8,1.0,0.8000112926539673,3.498528933231236e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.9,0.2,0.9000200041298848,1.681948727345647e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.9,0.5,0.9000200041298848,1.681948727345647e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.9,0.8,0.9000200041298848,1.681948727345647e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.9,0.9,0.9000200041298848,1.681948727345647e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.9,1.0,0.9000200041298848,1.681948727345647e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.95,0.2,0.9500106473594547,1.8180249583099127e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.95,0.5,0.9500106473594547,1.8180249583099127e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.95,0.8,0.9500106473594547,1.8180249583099127e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.95,0.9,0.9500106473594547,1.8180249583099127e-05,5,5,"7,13,21,42,100"
cka_strength,total_sparsity,cka_feddst,cifar10,0.95,1.0,0.9500106473594547,1.8180249583099127e-05,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.5,0.2,309908.2,23.52020408075261,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.5,0.5,309908.2,23.52020408075261,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.5,0.8,309908.2,23.52020408075261,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.5,0.9,309908.2,23.52020408075261,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.5,1.0,309908.2,23.52020408075261,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.7,0.2,185942.4,16.364595931465175,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.7,0.5,185942.4,16.364595931465175,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.7,0.8,185942.4,16.364595931465175,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.7,0.9,185942.4,16.364595931465175,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.7,1.0,185942.4,16.364595931465175,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.8,0.2,123967.4,21.686401268999347,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.8,0.5,123967.4,21.686401268999347,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.8,0.8,123967.4,21.686401268999347,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.8,0.9,123967.4,21.686401268999347,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.8,1.0,123967.4,21.686401268999347,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.9,0.2,61974.8,10.425929215183077,5,5,"7,13,21,42,100"
cka_strength,active_params,cka_feddst,cifar10,0.9,0.5,61974.8,10.425929215183077,5,5,"7,13,21,42,100"
