suite,metric,method,dataset,sparsity,cka_strength,mean,std,count,seed_count,seeds
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.5,0.2,0.73758,0.009311659358030615,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.5,0.5,0.73758,0.009311659358030615,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.5,0.8,0.73758,0.009311659358030615,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.5,0.9,0.73758,0.009311659358030615,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.5,1.0,0.73758,0.009311659358030615,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.7,0.2,0.72392,0.022963601633890097,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.7,0.5,0.7233799999999999,0.02382628800296008,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.7,0.8,0.72406,0.024265263237805583,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.7,0.9,0.72538,0.023707952252356196,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.7,1.0,0.7236800000000001,0.023526304427172542,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.8,0.2,0.71212,0.01727243468651712,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.8,0.5,0.7137,0.019024063708892494,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.8,0.8,0.71416,0.017327810017425737,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.8,0.9,0.7146,0.016969236871468292,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.8,1.0,0.71542,0.015565249757071064,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.9,0.2,0.7085199999999999,0.023965642073601964,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.9,0.5,0.70762,0.023718705698245808,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.9,0.8,0.7083,0.02129941313745524,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.9,0.9,0.7081999999999999,0.02132662654992579,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.9,1.0,0.70858,0.022004476817229644,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.95,0.2,0.64074,0.046987051407808095,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.95,0.5,0.64074,0.046987051407808095,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.95,0.8,0.64074,0.046987051407808095,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.95,0.9,0.64074,0.046987051407808095,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,fashion_mnist,0.95,1.0,0.64074,0.046987051407808095,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.5,0.2,0.6913191061210633,0.05263374375780036,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.5,0.5,0.6913191061210633,0.05263374375780036,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.5,0.8,0.6913191061210633,0.05263374375780036,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.5,0.9,0.6913191061210633,0.05263374375780036,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.5,1.0,0.6913191061210633,0.05263374375780036,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.7,0.2,0.7189820618915558,0.07382157654632673,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.7,0.5,0.7212131989860534,0.07517785248733341,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.7,0.8,0.7182780861854553,0.07486636295287818,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.7,0.9,0.7153251414585113,0.0738494667796942,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.7,1.0,0.7175760182571411,0.07417474339842016,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.8,0.2,0.7527398320007325,0.06055090684954567,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.8,0.5,0.7528847318172455,0.06074542043112158,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.8,0.8,0.7511576331233978,0.06027818846181671,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.8,0.9,0.7503271067237854,0.06166367635301063,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.8,1.0,0.7487765860366821,0.06093314069752113,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.9,0.2,0.7641388652133941,0.07203811685242624,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.9,0.5,0.7646539027786254,0.07197808912594716,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.9,0.8,0.7634660569953919,0.06930096994664518,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.9,0.9,0.7664890037918091,0.0714142834929232,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.9,1.0,0.7655232601928711,0.0692339937602981,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.95,0.2,0.96711006608963,0.17791975289113074,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.95,0.5,0.96711006608963,0.17791975289113074,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.95,0.8,0.96711006608963,0.17791975289113074,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.95,0.9,0.96711006608963,0.17791975289113074,5,5,"7,13,21,42,100"
cka_strength,test_loss,cka_feddst,fashion_mnist,0.95,1.0,0.96711006608963,0.17791975289113074,5,5,"7,13,21,42,100"
cka_strength,avg_train_loss,cka_feddst,fashion_mnist,0.5,0.2,0.38018712587828396,0.015249725564456971,5,5,"7,13,21,42,100"
