suite,metric,method,dataset,sparsity,cka_strength,round,layer,mean,std,count,seed_count,seeds
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,1,conv1,0.5125,0.0478990507071067,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,2,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,3,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,4,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,5,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,6,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,7,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,8,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,9,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,10,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,11,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,12,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,13,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,14,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,15,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,16,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,17,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,18,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,19,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.2,20,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,1,conv1,0.5125,0.0478990507071067,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,2,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,3,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,4,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,5,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,6,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,7,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,8,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,9,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,10,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,11,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,12,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,13,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,14,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,15,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,16,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,17,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,18,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,19,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.5,20,conv1,0.5,0.0,5,5,"7,13,21,42,100"
cka_strength,actual_sparsity,cka_feddst,fashion_mnist,0.5,0.8,1,conv1,0.5125,0.0478990507071067,5,5,"7,13,21,42,100"
