suite,metric,method,dataset,sparsity,cka_strength,mean,std,count,seed_count,seeds
multiseed,test_accuracy,cka_feddst,mnist,0.5,0.2,0.91418,0.018609056934729386,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,mnist,0.7,0.2,0.9031800000000001,0.016763263405435092,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,mnist,0.8,0.2,0.88784,0.01578648155859942,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,mnist,0.9,0.2,0.86298,0.021502488228109764,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,mnist,0.95,0.2,0.70404,0.1565364909533876,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,mnist,0.0,,0.9433400000000001,0.014579540459150254,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,mnist,0.5,,0.91404,0.018591073126637964,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,mnist,0.7,,0.9015000000000001,0.01714759458349771,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,mnist,0.8,,0.88818,0.01634570279920687,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,mnist,0.9,,0.86592,0.021637398180003094,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,mnist,0.95,,0.7271799999999999,0.06823640523943211,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,mnist,0.5,,0.9116,0.019835195990965157,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,mnist,0.7,,0.88644,0.02047664523304535,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,mnist,0.8,,0.8666,0.022560695911252416,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,mnist,0.9,,0.53794,0.19709824453809832,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,mnist,0.95,,0.10644,0.006507149913748719,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,mnist,0.5,0.2,0.2735482133054733,0.051182433864976035,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,mnist,0.7,0.2,0.312222317931652,0.04307801504537591,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,mnist,0.8,0.2,0.3596063510560989,0.040297311762654886,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,mnist,0.9,0.2,0.42334386278152464,0.05904150677637465,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,mnist,0.95,0.2,0.9624914019298554,0.626920944302709,5,5,"7,13,21,42,100"
multiseed,test_loss,fedavg,mnist,0.0,,0.18619263676583758,0.04037897591466732,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,mnist,0.5,,0.27487764792442315,0.05135646630078851,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,mnist,0.7,,0.3168365298771858,0.04375619947366375,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,mnist,0.8,,0.3583809333753586,0.03925258751317314,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,mnist,0.9,,0.4167628236961365,0.05900965296364727,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,mnist,0.95,,0.7896159320449829,0.17629382387782766,5,5,"7,13,21,42,100"
multiseed,test_loss,sparse_fedavg,mnist,0.5,,0.2862010171842575,0.05634193581070281,5,5,"7,13,21,42,100"
multiseed,test_loss,sparse_fedavg,mnist,0.7,,0.364154023001194,0.05662664635277035,5,5,"7,13,21,42,100"
multiseed,test_loss,sparse_fedavg,mnist,0.8,,0.4245596150302887,0.05575329678709073,5,5,"7,13,21,42,100"
multiseed,test_loss,sparse_fedavg,mnist,0.9,,1.4255356413269042,0.6312573577147843,5,5,"7,13,21,42,100"
multiseed,test_loss,sparse_fedavg,mnist,0.95,,2.3095425470733644,0.009687112789836343,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,mnist,0.5,0.2,0.15110926993013735,0.023701307281834127,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,mnist,0.7,0.2,0.17883230529750074,0.027946528240641887,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,mnist,0.8,0.2,0.2021419776908014,0.023907047813770694,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,mnist,0.9,0.2,0.23037909391394623,0.020712357000787444,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,mnist,0.95,0.2,0.5109059127891206,0.4080771488067517,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,fedavg,mnist,0.0,,0.09554361698148847,0.016431866005612184,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,feddst,mnist,0.5,,0.15167570134783787,0.023958341470237475,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,feddst,mnist,0.7,,0.18037066793805653,0.028102629276756576,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,feddst,mnist,0.8,,0.19951781168312027,0.013957818152657944,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,feddst,mnist,0.9,,0.2321029929327112,0.019965260080699376,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,feddst,mnist,0.95,,0.36616206135044493,0.0906375621568583,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,sparse_fedavg,mnist,0.5,,0.1513010356408204,0.022615374101322402,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,sparse_fedavg,mnist,0.7,,0.19391389906756112,0.02566815214253957,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,sparse_fedavg,mnist,0.8,,0.22401985440289685,0.015170967739288716,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,sparse_fedavg,mnist,0.9,,0.8698399911971769,0.5097317745325158,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,sparse_fedavg,mnist,0.95,,2.1775507537274055,0.02382262434370577,5,5,"7,13,21,42,100"
multiseed,total_sparsity,cka_feddst,mnist,0.5,0.2,0.500018983977523,8.078652769075483e-05,5,5,"7,13,21,42,100"
multiseed,total_sparsity,cka_feddst,mnist,0.7,0.2,0.7000033221960665,3.8373646510724825e-05,5,5,"7,13,21,42,100"
multiseed,total_sparsity,cka_feddst,mnist,0.8,0.2,0.8000014237983143,2.968618536714245e-05,5,5,"7,13,21,42,100"
multiseed,total_sparsity,cka_feddst,mnist,0.9,0.2,0.8999995254005618,3.02498974484861e-05,5,5,"7,13,21,42,100"
multiseed,total_sparsity,cka_feddst,mnist,0.95,0.2,0.9499966778039335,1.4570280045038738e-05,5,5,"7,13,21,42,100"
multiseed,total_sparsity,feddst,mnist,0.5,,0.5,0.0,5,5,"7,13,21,42,100"
multiseed,total_sparsity,feddst,mnist,0.7,,0.7000009491988761,0.0,5,5,"7,13,21,42,100"
multiseed,total_sparsity,feddst,mnist,0.8,,0.7999990508011239,0.0,5,5,"7,13,21,42,100"
multiseed,total_sparsity,feddst,mnist,0.9,,0.8999995254005618,0.0,5,5,"7,13,21,42,100"
multiseed,total_sparsity,feddst,mnist,0.95,,0.9500009491988759,0.0,5,5,"7,13,21,42,100"
multiseed,total_sparsity,sparse_fedavg,mnist,0.5,,0.5,0.0,5,5,"7,13,21,42,100"
multiseed,total_sparsity,sparse_fedavg,mnist,0.7,,0.7000009491988761,0.0,5,5,"7,13,21,42,100"
multiseed,total_sparsity,sparse_fedavg,mnist,0.8,,0.7999990508011239,0.0,5,5,"7,13,21,42,100"
multiseed,total_sparsity,sparse_fedavg,mnist,0.9,,0.8999995254005618,0.0,5,5,"7,13,21,42,100"
multiseed,total_sparsity,sparse_fedavg,mnist,0.95,,0.9500009491988759,0.0,5,5,"7,13,21,42,100"
multiseed,active_params,cka_feddst,mnist,0.5,0.2,210696.0,34.04408906109926,5,5,"7,13,21,42,100"
multiseed,active_params,cka_feddst,mnist,0.7,0.2,126421.0,16.170961628796228,5,5,"7,13,21,42,100"
multiseed,active_params,cka_feddst,mnist,0.8,0.2,84281.0,12.509996003196804,5,5,"7,13,21,42,100"
