suite,metric,method,dataset,sparsity,cka_strength,mean,std,count,seed_count,seeds
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,0.32194,0.021291618069090017,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,0.23952,0.02228737310676159,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,0.20417999999999997,0.022264927576796652,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,0.1299,0.02113314931570777,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,0.4568,0.012708265027138827,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,cifar10,0.5,,0.32138,0.02203581176176635,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,cifar10,0.7,,0.24020000000000002,0.021506859370907683,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,cifar10,0.8,,0.20495999999999998,0.021305468781512404,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,cifar10,0.9,,0.11394,0.019009681743785187,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,cifar10,0.95,,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,cifar10,0.5,,0.32328,0.01840725400487535,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,cifar10,0.7,,0.24716,0.016137626839160698,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,cifar10,0.8,,0.19112,0.014925716063224572,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,cifar10,0.9,,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,cifar10,0.95,,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,cifar10,0.5,0.2,1.8866691897964476,0.05845391632901575,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,cifar10,0.7,0.2,2.183450708198547,0.06137971903980324,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,cifar10,0.8,0.2,2.2924044436645508,0.01811503387679131,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,cifar10,0.9,0.2,2.3703662850189207,0.04615464719814217,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,cifar10,0.95,0.2,2.3035047095489505,0.0006011700988548307,5,5,"7,13,21,42,100"
multiseed,test_loss,fedavg,cifar10,0.0,,1.4751325123596193,0.038250542521190645,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,cifar10,0.5,,1.8904836883926392,0.05542638612464497,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,cifar10,0.7,,2.1881384239578248,0.05853496060686464,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,cifar10,0.8,,2.295469132347107,0.02099328899227389,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,cifar10,0.9,,2.3262912055206297,0.043714719542965665,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,cifar10,0.95,,2.3035047095489505,0.0006011700988548307,5,5,"7,13,21,42,100"
multiseed,test_loss,sparse_fedavg,cifar10,0.5,,1.8943144925689697,0.06225544423160015,5,5,"7,13,21,42,100"
multiseed,test_loss,sparse_fedavg,cifar10,0.7,,2.225235207519531,0.04472883598488642,5,5,"7,13,21,42,100"
multiseed,test_loss,sparse_fedavg,cifar10,0.8,,2.390786257095337,0.037738286222882195,5,5,"7,13,21,42,100"
multiseed,test_loss,sparse_fedavg,cifar10,0.9,,2.3035003769683837,0.0005935726571250064,5,5,"7,13,21,42,100"
multiseed,test_loss,sparse_fedavg,cifar10,0.95,,2.3035047095489505,0.0006011700988548307,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,cifar10,0.5,0.2,1.3496698572151589,0.06533485280561356,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,cifar10,0.7,0.2,1.5392584133092804,0.07679732644897166,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,cifar10,0.8,0.2,1.620814936040146,0.0667217351986657,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,cifar10,0.9,0.2,2.04283314328001,0.16717085620911942,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,cifar10,0.95,0.2,2.2180118127938475,0.011533925587867993,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,fedavg,cifar10,0.0,,1.069254644222392,0.042575485989386895,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,feddst,cifar10,0.5,,1.3556309775140551,0.06499394216570648,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,feddst,cifar10,0.7,,1.550158730319293,0.0847986010945051,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,feddst,cifar10,0.8,,1.6202678073767458,0.06924840704084612,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,feddst,cifar10,0.9,,2.1047262361447014,0.2328948921983721,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,feddst,cifar10,0.95,,2.2180118127938475,0.011533925587867993,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,sparse_fedavg,cifar10,0.5,,1.3518296164433161,0.0625511606851035,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,sparse_fedavg,cifar10,0.7,,1.5595569983597959,0.07040305548073926,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,sparse_fedavg,cifar10,0.8,,1.6727750992259593,0.054257087745951185,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,sparse_fedavg,cifar10,0.9,,2.2172658328306794,0.011666917389861989,5,5,"7,13,21,42,100"
