suite,metric,method,dataset,sparsity,cka_strength,round,mean,std,count,seed_count,seeds
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,1,0.13544,0.014386556224475683,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,2,0.14538,0.015902735613723823,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,3,0.1512,0.019309194700970818,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,4,0.16338,0.012690232464379834,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,5,0.17256,0.019190700873079128,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,6,0.18308,0.023285016641608834,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,7,0.19422,0.011505954979922357,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,8,0.20206,0.019266888695375805,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,9,0.22193999999999997,0.017733245613818123,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,10,0.22401999999999997,0.017715868592874568,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,11,0.23938,0.024782392943378185,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,12,0.24766,0.01838526583979682,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,13,0.26344,0.01849913511491821,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,14,0.26966,0.019685603876945217,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,15,0.28528000000000003,0.02037245689650612,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,16,0.29002,0.021428649047478456,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,17,0.3007,0.020138644442960908,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,18,0.30808,0.0207931960025389,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,19,0.30872,0.023943099214596253,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,20,0.321,0.019965595408101392,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,1,0.10611999999999999,0.008659503449967557,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,2,0.12840000000000001,0.013249150916190822,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,3,0.13921999999999998,0.018920280124776163,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,4,0.14908,0.016858736607468554,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,5,0.15354,0.02044781161885057,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,6,0.15894,0.023240116178711325,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,7,0.16646,0.01335170401109912,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,8,0.16766,0.019819636727246043,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,9,0.17892000000000002,0.01863375968504478,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,10,0.17953999999999998,0.017456316908214062,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,11,0.18562,0.022118815519823847,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,12,0.18946000000000002,0.017921718667583193,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,13,0.20132,0.02454724017074017,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,14,0.20224000000000003,0.019014810017457445,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,15,0.20748000000000003,0.017837516643299873,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,16,0.20750000000000002,0.021493254755853054,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,17,0.22156000000000003,0.021303121836951502,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,18,0.22512,0.016804076886279717,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,19,0.22382,0.03132382479838629,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,20,0.23944000000000001,0.022142786635832443,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,1,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,2,0.09981999999999999,0.0005215361924162099,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,3,0.10858000000000001,0.01236454608952549,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,4,0.13157999999999997,0.024123370411283738,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,5,0.13078,0.026327874961720708,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,6,0.13982,0.029135322205185922,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,7,0.1476,0.01985258169609182,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,8,0.14794000000000002,0.02407525700797398,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,9,0.16192,0.029629579814772933,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,10,0.1584,0.020315019074566478,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,11,0.17034,0.030551562971474964,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,12,0.16834,0.01986725949898475,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,13,0.18372,0.027971360353046832,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,14,0.18519999999999998,0.02502129093392266,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,15,0.18974,0.01973545033689375,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,16,0.18739999999999998,0.01974272017732106,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,17,0.19390000000000002,0.02667255143401171,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,18,0.19483999999999999,0.022466708704213884,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,19,0.1913,0.033053971017110786,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,20,0.20032,0.02096978779101019,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,1,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,2,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,3,0.10006,0.0001341640786499874,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,4,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,5,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,6,0.10042,0.000939148550549908,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,7,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,8,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,9,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,10,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,11,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,12,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,13,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,14,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,15,0.10604,0.013505850584098731,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,16,0.10142,0.0030646370095004675,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,17,0.10198,0.0037923607423345175,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,18,0.10238,0.006659729724245563,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,19,0.12334,0.019269094426049193,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,20,0.12210000000000001,0.02288187055290716,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,1,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,2,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,3,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,4,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,5,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,6,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,7,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,8,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,9,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,10,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,11,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,12,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,13,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,14,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,15,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,16,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,17,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,18,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,19,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,20,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,1,0.15298,0.014850319861875022,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,2,0.19916,0.015640588224232494,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,3,0.22349999999999998,0.01887988347421669,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,4,0.25573999999999997,0.016031780936627094,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,5,0.28642,0.02117396986868545,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,6,0.31146,0.02230141251131866,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,7,0.33076,0.010385711338179972,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,8,0.35131999999999997,0.013270908032233504,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,9,0.36288,0.009407018656301253,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,10,0.37188,0.01319799227155403,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,11,0.37551999999999996,0.021193206458674424,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,12,0.39754,0.008823151364450223,5,5,"7,13,21,42,100"
