suite,metric,method,dataset,sparsity,cka_strength,mean,std,count,seed_count,seeds
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,0.32194,0.021291618069090017,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,0.24168000000000003,0.022818895678800924,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,0.20698,0.02139490593575957,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,0.12524000000000002,0.029679673178793598,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,0.4568,0.012708265027138827,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,cifar10,0.5,0.2,1.8866691897964476,0.05845391632901575,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,cifar10,0.7,0.2,2.181224793815613,0.06941120379285629,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,cifar10,0.8,0.2,2.2955802642822265,0.02471963581073669,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,cifar10,0.9,0.2,2.3936253913879395,0.05859663360503335,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,cifar10,0.95,0.2,2.3035047095489505,0.0006011700988548307,5,5,"7,13,21,42,100"
multiseed,test_loss,fedavg,cifar10,0.0,,1.4751325123596193,0.038250542521190645,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,cifar10,0.5,0.2,1.3496698572151589,0.06533485280561356,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,cifar10,0.7,0.2,1.5395776351422974,0.07727493024178557,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,cifar10,0.8,0.2,1.6204721285581587,0.06801272932088943,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,cifar10,0.9,0.2,1.8699599716309343,0.22157537508130187,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,cka_feddst,cifar10,0.95,0.2,2.2180118127938475,0.011533925587867993,5,5,"7,13,21,42,100"
multiseed,avg_train_loss,fedavg,cifar10,0.0,,1.069254644222392,0.042575485989386895,5,5,"7,13,21,42,100"
multiseed,total_sparsity,cka_feddst,cifar10,0.5,0.2,0.5000448479686128,3.7943646560512025e-05,5,5,"7,13,21,42,100"
multiseed,total_sparsity,cka_feddst,cifar10,0.7,0.2,0.700030974136596,2.6399959881200575e-05,5,5,"7,13,21,42,100"
multiseed,total_sparsity,cka_feddst,cifar10,0.8,0.2,0.8000112926539673,3.498528933231236e-05,5,5,"7,13,21,42,100"
multiseed,total_sparsity,cka_feddst,cifar10,0.9,0.2,0.9000129058902482,1.5945761438678044e-05,5,5,"7,13,21,42,100"
multiseed,total_sparsity,cka_feddst,cifar10,0.95,0.2,0.9499993547054876,0.0,5,5,"7,13,21,42,100"
multiseed,active_params,cka_feddst,cifar10,0.5,0.2,309908.2,23.52020408075261,5,5,"7,13,21,42,100"
multiseed,active_params,cka_feddst,cifar10,0.7,0.2,185942.4,16.364595931465175,5,5,"7,13,21,42,100"
multiseed,active_params,cka_feddst,cifar10,0.8,0.2,123967.4,21.686401268999347,5,5,"7,13,21,42,100"
multiseed,active_params,cka_feddst,cifar10,0.9,0.2,61979.2,9.884331034520555,5,5,"7,13,21,42,100"
multiseed,active_params,cka_feddst,cifar10,0.95,0.2,30994.0,0.0,5,5,"7,13,21,42,100"
multiseed,total_params,cka_feddst,cifar10,0.5,0.2,619872.0,0.0,5,5,"7,13,21,42,100"
multiseed,total_params,cka_feddst,cifar10,0.7,0.2,619872.0,0.0,5,5,"7,13,21,42,100"
multiseed,total_params,cka_feddst,cifar10,0.8,0.2,619872.0,0.0,5,5,"7,13,21,42,100"
multiseed,total_params,cka_feddst,cifar10,0.9,0.2,619872.0,0.0,5,5,"7,13,21,42,100"
multiseed,total_params,cka_feddst,cifar10,0.95,0.2,619872.0,0.0,5,5,"7,13,21,42,100"
multiseed,pruned_weights,cka_feddst,cifar10,0.5,0.2,49584.0,27718.298892608833,5,5,"7,13,21,42,100"
multiseed,pruned_weights,cka_feddst,cifar10,0.7,0.2,29750.2,16630.867617174998,5,5,"7,13,21,42,100"
multiseed,pruned_weights,cka_feddst,cifar10,0.8,0.2,14876.2,13580.050596371133,5,5,"7,13,21,42,100"
multiseed,pruned_weights,cka_feddst,cifar10,0.9,0.2,9915.8,5543.100910140461,5,5,"7,13,21,42,100"
multiseed,pruned_weights,cka_feddst,cifar10,0.95,0.2,0.0,0.0,5,5,"7,13,21,42,100"
multiseed,regrown_weights,cka_feddst,cifar10,0.5,0.2,49584.0,27718.298892608833,5,5,"7,13,21,42,100"
multiseed,regrown_weights,cka_feddst,cifar10,0.7,0.2,29750.2,16630.867617174998,5,5,"7,13,21,42,100"
multiseed,regrown_weights,cka_feddst,cifar10,0.8,0.2,14876.2,13580.050596371133,5,5,"7,13,21,42,100"
multiseed,regrown_weights,cka_feddst,cifar10,0.9,0.2,9915.8,5543.100910140461,5,5,"7,13,21,42,100"
multiseed,regrown_weights,cka_feddst,cifar10,0.95,0.2,0.0,0.0,5,5,"7,13,21,42,100"
multiseed,mask_changes,cka_feddst,cifar10,0.5,0.2,99168.0,55436.597785217666,5,5,"7,13,21,42,100"
multiseed,mask_changes,cka_feddst,cifar10,0.7,0.2,59500.4,33261.735234349995,5,5,"7,13,21,42,100"
multiseed,mask_changes,cka_feddst,cifar10,0.8,0.2,29752.4,27160.101192742266,5,5,"7,13,21,42,100"
multiseed,mask_changes,cka_feddst,cifar10,0.9,0.2,19831.6,11086.201820280921,5,5,"7,13,21,42,100"
multiseed,mask_changes,cka_feddst,cifar10,0.95,0.2,0.0,0.0,5,5,"7,13,21,42,100"
