suite,metric,method,dataset,sparsity,cka_strength,round,mean,std,count,seed_count,seeds
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,1,0.13544,0.014386556224475683,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,2,0.14538,0.015902735613723823,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,3,0.1512,0.019309194700970818,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,4,0.16338,0.012690232464379834,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,5,0.17256,0.019190700873079128,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,6,0.18308,0.023285016641608834,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,7,0.19422,0.011505954979922357,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,8,0.20206,0.019266888695375805,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,9,0.22193999999999997,0.017733245613818123,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,10,0.22401999999999997,0.017715868592874568,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,11,0.23938,0.024782392943378185,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,12,0.24766,0.01838526583979682,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,13,0.26344,0.01849913511491821,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,14,0.26966,0.019685603876945217,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,15,0.28528000000000003,0.02037245689650612,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,16,0.29002,0.021428649047478456,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,17,0.3007,0.020138644442960908,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,18,0.30808,0.0207931960025389,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,19,0.30872,0.023943099214596253,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.5,0.2,20,0.321,0.019965595408101392,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,1,0.10611999999999999,0.008659503449967557,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,2,0.12840000000000001,0.013249150916190822,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,3,0.13916,0.018893861436985297,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,4,0.14882,0.016837814585034493,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,5,0.15362,0.020801249962442165,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,6,0.15866,0.02332751594147993,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,7,0.16699999999999998,0.014699319712149949,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,8,0.16785999999999998,0.019051325413209447,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,9,0.1786,0.018366001197865574,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,10,0.17986,0.017268989547741347,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,11,0.18504,0.021812221344924956,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,12,0.1893,0.017851190436494687,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,13,0.20162,0.024559865634811603,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,14,0.20288,0.01865615180041157,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,15,0.20778,0.01788943822482975,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,16,0.20817999999999998,0.021718126070174655,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,17,0.22233999999999998,0.02139855135283695,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,18,0.22608,0.0182705227073557,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,19,0.22346,0.031710140333968864,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.7,0.2,20,0.24134000000000003,0.022242819065936757,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,1,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,2,0.09981999999999999,0.0005215361924162099,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,3,0.10869999999999999,0.01254272697622012,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,4,0.13164,0.024105870654261792,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,5,0.13258,0.024469409473871658,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,6,0.14034,0.02960131753824482,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,7,0.14664000000000002,0.02027727792382398,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,8,0.14694000000000002,0.0248795699319743,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,9,0.1621,0.028405721254705023,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,10,0.15862,0.020637756661032708,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,11,0.17034,0.029633140231841777,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,12,0.16741999999999999,0.019905451514597706,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,13,0.18392,0.027533198143332344,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,14,0.18482,0.02431742173833402,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,15,0.1904,0.020710263156222812,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,16,0.187,0.019964969321288724,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,17,0.19388,0.026712581305444814,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,18,0.19604,0.02256342172632511,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,19,0.19056,0.03427714982316936,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.8,0.2,20,0.2022,0.021910271563812252,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,1,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,2,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,3,0.10006,0.0001341640786499874,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,4,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,5,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,6,0.10044,0.0009838699100999052,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,7,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,8,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,9,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,10,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,11,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,12,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,13,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,14,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,15,0.10468,0.01046479813469901,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,16,0.1068,0.014327595750857847,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,17,0.10500000000000001,0.007610519036176176,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,18,0.10256000000000001,0.0056131987315611795,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,19,0.11478,0.0272483393989432,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.9,0.2,20,0.12524000000000002,0.029679673178793598,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,1,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,2,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,3,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,4,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,5,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,6,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,7,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,8,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,9,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,10,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,11,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,12,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,13,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,14,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,15,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,16,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,17,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,18,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,19,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,cifar10,0.95,0.2,20,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,1,0.15298,0.014850319861875022,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,2,0.19916,0.015640588224232494,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,3,0.22349999999999998,0.01887988347421669,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,4,0.25573999999999997,0.016031780936627094,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,5,0.28642,0.02117396986868545,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,6,0.31146,0.02230141251131866,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,7,0.33076,0.010385711338179972,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,8,0.35131999999999997,0.013270908032233504,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,9,0.36288,0.009407018656301253,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,10,0.37188,0.01319799227155403,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,11,0.37551999999999996,0.021193206458674424,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,cifar10,0.0,,12,0.39754,0.008823151364450223,5,5,"7,13,21,42,100"
