suite,metric,method,dataset,sparsity,cka_strength,mean,std,count,seed_count,seeds
multiseed,test_accuracy,cka_feddst,fashion_mnist,0.5,0.2,0.7405,0.01378676901960721,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,fashion_mnist,0.7,0.2,0.7281799999999999,0.023808338875276447,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,fashion_mnist,0.8,0.2,0.7214,0.020473275263132657,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,fashion_mnist,0.9,0.2,0.7100799999999999,0.022401160684214567,5,5,"7,13,21,42,100"
multiseed,test_accuracy,cka_feddst,fashion_mnist,0.95,0.2,0.64118,0.046631502227571446,5,5,"7,13,21,42,100"
multiseed,test_accuracy,fedavg,fashion_mnist,0.0,,0.7831400000000001,0.015990247027485215,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,fashion_mnist,0.5,,0.73994,0.014479226498677309,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,fashion_mnist,0.7,,0.7280800000000001,0.0222821004395905,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,fashion_mnist,0.8,,0.71978,0.022253134610656502,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,fashion_mnist,0.9,,0.7067,0.025023688776836986,5,5,"7,13,21,42,100"
multiseed,test_accuracy,feddst,fashion_mnist,0.95,,0.65614,0.027147891262490356,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,fashion_mnist,0.5,,0.7417,0.017849369736772164,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,fashion_mnist,0.7,,0.72226,0.021531442125412827,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,fashion_mnist,0.8,,0.7033799999999999,0.026433539301425342,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,fashion_mnist,0.9,,0.60568,0.06503454466666155,5,5,"7,13,21,42,100"
multiseed,test_accuracy,sparse_fedavg,fashion_mnist,0.95,,0.1,0.0,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,fashion_mnist,0.5,0.2,0.6914382764530183,0.05244616297302252,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,fashion_mnist,0.7,0.2,0.7099592388534546,0.06561500574631483,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,fashion_mnist,0.8,0.2,0.7471694257545471,0.06590826846830405,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,fashion_mnist,0.9,0.2,0.7553477929401398,0.060398565752770396,5,5,"7,13,21,42,100"
multiseed,test_loss,cka_feddst,fashion_mnist,0.95,0.2,0.9641271841430663,0.17490401057237873,5,5,"7,13,21,42,100"
multiseed,test_loss,fedavg,fashion_mnist,0.0,,0.5724506899929047,0.039455035335372556,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,fashion_mnist,0.5,,0.6882866199493408,0.045038862201365305,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,fashion_mnist,0.7,,0.7132749823474884,0.0650531143718057,5,5,"7,13,21,42,100"
multiseed,test_loss,feddst,fashion_mnist,0.8,,0.7449364922523498,0.06198392256733202,5,5,"7,13,21,42,100"
