round,layer,client_i,client_j,cka,average_layer_cka,num_reference_samples
1,conv1,0,0,1.0,0.997933566570282,100
1,conv1,0,1,0.9999392628669739,0.997933566570282,100
1,conv1,0,2,0.9967005848884583,0.997933566570282,100
1,conv1,1,0,0.9999392628669739,0.997933566570282,100
1,conv1,1,1,1.0,0.997933566570282,100
1,conv1,1,2,0.9971609115600586,0.997933566570282,100
1,conv1,2,0,0.9967005848884583,0.997933566570282,100
1,conv1,2,1,0.9971609115600586,0.997933566570282,100
1,conv1,2,2,1.0,0.997933566570282,100
1,conv2,0,0,1.0,0.9711143374443054,100
1,conv2,0,1,0.9925916194915771,0.9711143374443054,100
1,conv2,0,2,0.966199517250061,0.9711143374443054,100
1,conv2,1,0,0.9925916194915771,0.9711143374443054,100
1,conv2,1,1,1.0,0.9711143374443054,100
1,conv2,1,2,0.9545516967773438,0.9711143374443054,100
1,conv2,2,0,0.966199517250061,0.9711143374443054,100
1,conv2,2,1,0.9545516967773438,0.9711143374443054,100
1,conv2,2,2,1.0,0.9711143374443054,100
1,fc1,0,0,1.0,0.5826500058174133,100
1,fc1,0,1,0.63621586561203,0.5826500058174133,100
1,fc1,0,2,0.5130479335784912,0.5826500058174133,100
1,fc1,1,0,0.63621586561203,0.5826500058174133,100
1,fc1,1,1,1.0,0.5826500058174133,100
1,fc1,1,2,0.5986862778663635,0.5826500058174133,100
1,fc1,2,0,0.5130479335784912,0.5826500058174133,100
1,fc1,2,1,0.5986862778663635,0.5826500058174133,100
1,fc1,2,2,1.0,0.5826500058174133,100
2,conv1,0,0,1.0,0.9994962811470032,100
2,conv1,0,1,0.9993003010749817,0.9994962811470032,100
2,conv1,0,2,0.9999186992645264,0.9994962811470032,100
2,conv1,1,0,0.9993003010749817,0.9994962811470032,100
2,conv1,1,1,1.0,0.9994962811470032,100
2,conv1,1,2,0.9992700219154358,0.9994962811470032,100
2,conv1,2,0,0.9999186992645264,0.9994962811470032,100
2,conv1,2,1,0.9992700219154358,0.9994962811470032,100
2,conv1,2,2,1.0,0.9994962811470032,100
2,conv2,0,0,1.0,0.9520156979560852,100
2,conv2,0,1,0.9886245131492615,0.9520156979560852,100
2,conv2,0,2,0.9489369988441467,0.9520156979560852,100
2,conv2,1,0,0.9886245131492615,0.9520156979560852,100
2,conv2,1,1,1.0,0.9520156979560852,100
2,conv2,1,2,0.9184855818748474,0.9520156979560852,100
2,conv2,2,0,0.9489369988441467,0.9520156979560852,100
2,conv2,2,1,0.9184855818748474,0.9520156979560852,100
2,conv2,2,2,1.0,0.9520156979560852,100
