method,dataset,sparsity,seed,round,test_accuracy,test_loss,avg_train_loss,cka_computed,pruned_weights,regrown_weights,mask_changes,total_sparsity,active_params,total_params,layer_sparsity,layer_cka,layer_target_sparsity,sparsity_conv1_weight,sparsity_conv2_weight,sparsity_fc1_weight,sparsity_fc2_weight,cka_conv1,cka_conv2,cka_fc1,target_sparsity_conv1_weight,target_sparsity_conv2_weight,target_sparsity_fc1_weight,target_sparsity_fc2_weight
cka_feddst,mnist,0.5,42,1,0.3155,2.202570919418335,1.8482029943754277,0,0,0,0,0.5,210704,421408,conv1.weight:0.545139;conv2.weight:0.500922;fc1.weight:0.499843;fc2.weight:0.525781,,,0.5451388888888888,0.5009223090277778,0.4998430524553571,0.52578125,,,,,,,
cka_feddst,mnist,0.5,42,2,0.5114,1.6598236026763915,1.1497931242729227,1,42140,42107,84247,0.5000783089072822,210671,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.525781,conv1:0.999977;conv2:0.999814;fc1:0.837757,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.52578125,0.9999765157699585,0.9998141527175903,0.837757408618927,0.5,0.5,0.5,
cka_feddst,mnist,0.5,42,3,0.6811,0.949669126701355,0.5263387053944171,0,0,0,0,0.5000783089072822,210671,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.525781,conv1:0.999977;conv2:0.999814;fc1:0.837757,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.52578125,0.9999765157699585,0.9998141527175903,0.837757408618927,0.5,0.5,0.5,
cka_feddst,mnist,0.5,42,4,0.7349,0.7393605100631714,0.3519994190759957,1,42134,42134,84268,0.5000783089072822,210671,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.525781,conv1:0.999999;conv2:0.999979;fc1:0.981116,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.52578125,0.9999987483024597,0.9999791979789734,0.9811161160469055,0.5,0.5,0.5,
cka_feddst,mnist,0.5,42,5,0.7668,0.6226737599849701,0.3065423327685644,0,0,0,0,0.5000783089072822,210671,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.525781,conv1:0.999999;conv2:0.999979;fc1:0.981116,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.52578125,0.9999987483024597,0.9999791979789734,0.9811161160469055,0.5,0.5,0.5,
cka_feddst,mnist,0.5,42,6,0.7896,0.5678396362304687,0.2722579179187616,1,42134,42134,84268,0.5000783089072822,210671,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.525781,conv1:1.000000;conv2:0.999989;fc1:0.986522,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.52578125,0.9999995231628418,0.9999887347221375,0.9865220189094543,0.5,0.5,0.5,
cka_feddst,mnist,0.5,42,7,0.8111,0.5200456093788147,0.27047077969871464,0,0,0,0,0.5000783089072822,210671,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.525781,conv1:1.000000;conv2:0.999989;fc1:0.986522,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.52578125,0.9999995231628418,0.9999887347221375,0.9865220189094543,0.5,0.5,0.5,
cka_feddst,mnist,0.5,42,8,0.8263,0.49693940420150756,0.25377541138703624,1,42134,42134,84268,0.5000783089072822,210671,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.525781,conv1:1.000000;conv2:0.999982;fc1:0.983291,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.52578125,0.9999997019767761,0.9999817609786987,0.9832914471626282,0.5,0.5,0.5,
cka_feddst,mnist,0.5,42,9,0.8246,0.4898245327949524,0.23453251434241731,0,0,0,0,0.5000783089072822,210671,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.525781,conv1:1.000000;conv2:0.999982;fc1:0.983291,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.52578125,0.9999997019767761,0.9999817609786987,0.9832914471626282,0.5,0.5,0.5,
cka_feddst,mnist,0.5,42,10,0.8399,0.4626810486316681,0.22915844420269132,1,42134,42134,84268,0.5000783089072822,210671,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.525781,conv1:1.000000;conv2:0.999990;fc1:0.984834,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.52578125,0.9999998211860657,0.9999901652336121,0.9848338961601257,0.5,0.5,0.5,
cka_feddst,mnist,0.5,42,11,0.8628,0.41714016654491426,0.23075750390303632,0,0,0,0,0.5000783089072822,210671,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.525781,conv1:1.000000;conv2:0.999990;fc1:0.984834,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.52578125,0.9999998211860657,0.9999901652336121,0.9848338961601257,0.5,0.5,0.5,
