round,layer,client_i,client_j,cka,average_layer_cka,num_reference_samples
5,conv1,0,0,1.0,0.9963858723640442,100
5,conv1,0,1,0.9907844662666321,0.9963858723640442,100
5,conv1,0,2,0.9902577996253967,0.9963858723640442,100
5,conv1,0,3,0.9961514472961426,0.9963858723640442,100
5,conv1,0,4,0.9914291501045227,0.9963858723640442,100
5,conv1,1,0,0.9907844662666321,0.9963858723640442,100
5,conv1,1,1,1.0,0.9963858723640442,100
5,conv1,1,2,0.9998546838760376,0.9963858723640442,100
5,conv1,1,3,0.9984977841377258,0.9963858723640442,100
5,conv1,1,4,0.999968409538269,0.9963858723640442,100
5,conv1,2,0,0.9902577996253967,0.9963858723640442,100
5,conv1,2,1,0.9998546838760376,0.9963858723640442,100
5,conv1,2,2,1.0,0.9963858723640442,100
5,conv1,2,3,0.9983417391777039,0.9963858723640442,100
5,conv1,2,4,0.9998618364334106,0.9963858723640442,100
5,conv1,3,0,0.9961514472961426,0.9963858723640442,100
5,conv1,3,1,0.9984977841377258,0.9963858723640442,100
5,conv1,3,2,0.9983417391777039,0.9963858723640442,100
5,conv1,3,3,1.0,0.9963858723640442,100
5,conv1,3,4,0.9987117052078247,0.9963858723640442,100
5,conv1,4,0,0.9914291501045227,0.9963858723640442,100
5,conv1,4,1,0.999968409538269,0.9963858723640442,100
5,conv1,4,2,0.9998618364334106,0.9963858723640442,100
5,conv1,4,3,0.9987117052078247,0.9963858723640442,100
5,conv1,4,4,1.0,0.9963858723640442,100
5,conv2,0,0,1.0,0.8913876414299011,100
5,conv2,0,1,0.8215543031692505,0.8913876414299011,100
5,conv2,0,2,0.7036762833595276,0.8913876414299011,100
5,conv2,0,3,0.745046079158783,0.8913876414299011,100
5,conv2,0,4,0.8495120406150818,0.8913876414299011,100
5,conv2,1,0,0.8215543031692505,0.8913876414299011,100
5,conv2,1,1,1.0,0.8913876414299011,100
5,conv2,1,2,0.9564337730407715,0.8913876414299011,100
5,conv2,1,3,0.9702346324920654,0.8913876414299011,100
5,conv2,1,4,0.9929592609405518,0.8913876414299011,100
5,conv2,2,0,0.7036762833595276,0.8913876414299011,100
5,conv2,2,1,0.9564337730407715,0.8913876414299011,100
5,conv2,2,2,1.0,0.8913876414299011,100
5,conv2,2,3,0.9926735162734985,0.8913876414299011,100
5,conv2,2,4,0.9329012632369995,0.8913876414299011,100
5,conv2,3,0,0.745046079158783,0.8913876414299011,100
5,conv2,3,1,0.9702346324920654,0.8913876414299011,100
5,conv2,3,2,0.9926735162734985,0.8913876414299011,100
5,conv2,3,3,1.0,0.8913876414299011,100
5,conv2,3,4,0.9488849639892578,0.8913876414299011,100
5,conv2,4,0,0.8495120406150818,0.8913876414299011,100
5,conv2,4,1,0.9929592609405518,0.8913876414299011,100
5,conv2,4,2,0.9329012632369995,0.8913876414299011,100
5,conv2,4,3,0.9488849639892578,0.8913876414299011,100
5,conv2,4,4,1.0,0.8913876414299011,100
5,fc1,0,0,1.0,0.6809922456741333,100
5,fc1,0,1,0.7240123748779297,0.6809922456741333,100
5,fc1,0,2,0.4788057804107666,0.6809922456741333,100
5,fc1,0,3,0.46402835845947266,0.6809922456741333,100
5,fc1,0,4,0.6479024887084961,0.6809922456741333,100
5,fc1,1,0,0.7240123748779297,0.6809922456741333,100
5,fc1,1,1,1.0,0.6809922456741333,100
5,fc1,1,2,0.7885481119155884,0.6809922456741333,100
5,fc1,1,3,0.7707908749580383,0.6809922456741333,100
5,fc1,1,4,0.7855467796325684,0.6809922456741333,100
5,fc1,2,0,0.4788057804107666,0.6809922456741333,100
5,fc1,2,1,0.7885481119155884,0.6809922456741333,100
5,fc1,2,2,1.0,0.6809922456741333,100
5,fc1,2,3,0.8945134282112122,0.6809922456741333,100
5,fc1,2,4,0.6453756093978882,0.6809922456741333,100
5,fc1,3,0,0.46402835845947266,0.6809922456741333,100
5,fc1,3,1,0.7707908749580383,0.6809922456741333,100
5,fc1,3,2,0.8945134282112122,0.6809922456741333,100
5,fc1,3,3,1.0,0.6809922456741333,100
5,fc1,3,4,0.6103983521461487,0.6809922456741333,100
5,fc1,4,0,0.6479024887084961,0.6809922456741333,100
5,fc1,4,1,0.7855467796325684,0.6809922456741333,100
5,fc1,4,2,0.6453756093978882,0.6809922456741333,100
5,fc1,4,3,0.6103983521461487,0.6809922456741333,100
5,fc1,4,4,1.0,0.6809922456741333,100
10,conv1,0,0,1.0,0.9994069933891296,100
10,conv1,0,1,0.9986225366592407,0.9994069933891296,100
10,conv1,0,2,0.9999039769172668,0.9994069933891296,100
10,conv1,0,3,0.9998791813850403,0.9994069933891296,100
10,conv1,0,4,0.9998346567153931,0.9994069933891296,100
10,conv1,1,0,0.9986225366592407,0.9994069933891296,100
10,conv1,1,1,1.0,0.9994069933891296,100
10,conv1,1,2,0.9986734390258789,0.9994069933891296,100
10,conv1,1,3,0.9985576868057251,0.9994069933891296,100
10,conv1,1,4,0.9987159371376038,0.9994069933891296,100
10,conv1,2,0,0.9999039769172668,0.9994069933891296,100
10,conv1,2,1,0.9986734390258789,0.9994069933891296,100
10,conv1,2,2,1.0,0.9994069933891296,100
10,conv1,2,3,0.9999961256980896,0.9994069933891296,100
10,conv1,2,4,0.9999437928199768,0.9994069933891296,100
10,conv1,3,0,0.9998791813850403,0.9994069933891296,100
10,conv1,3,1,0.9985576868057251,0.9994069933891296,100
10,conv1,3,2,0.9999961256980896,0.9994069933891296,100
10,conv1,3,3,1.0,0.9994069933891296,100
10,conv1,3,4,0.9999427199363708,0.9994069933891296,100
10,conv1,4,0,0.9998346567153931,0.9994069933891296,100
10,conv1,4,1,0.9987159371376038,0.9994069933891296,100
10,conv1,4,2,0.9999437928199768,0.9994069933891296,100
10,conv1,4,3,0.9999427199363708,0.9994069933891296,100
10,conv1,4,4,1.0,0.9994069933891296,100
10,conv2,0,0,1.0,0.9227167963981628,100
10,conv2,0,1,0.8570352792739868,0.9227167963981628,100
10,conv2,0,2,0.9704116582870483,0.9227167963981628,100
10,conv2,0,3,0.9698864221572876,0.9227167963981628,100
10,conv2,0,4,0.9778891801834106,0.9227167963981628,100
10,conv2,1,0,0.8570352792739868,0.9227167963981628,100
10,conv2,1,1,1.0,0.9227167963981628,100
10,conv2,1,2,0.8195380568504333,0.9227167963981628,100
10,conv2,1,3,0.8295899033546448,0.9227167963981628,100
10,conv2,1,4,0.817786455154419,0.9227167963981628,100
10,conv2,2,0,0.9704116582870483,0.9227167963981628,100
10,conv2,2,1,0.8195380568504333,0.9227167963981628,100
10,conv2,2,2,1.0,0.9227167963981628,100
10,conv2,2,3,0.9992342591285706,0.9227167963981628,100
10,conv2,2,4,0.993212878704071,0.9227167963981628,100
10,conv2,3,0,0.9698864221572876,0.9227167963981628,100
10,conv2,3,1,0.8295899033546448,0.9227167963981628,100
10,conv2,3,2,0.9992342591285706,0.9227167963981628,100
10,conv2,3,3,1.0,0.9227167963981628,100
10,conv2,3,4,0.9925841689109802,0.9227167963981628,100
10,conv2,4,0,0.9778891801834106,0.9227167963981628,100
10,conv2,4,1,0.817786455154419,0.9227167963981628,100
10,conv2,4,2,0.993212878704071,0.9227167963981628,100
10,conv2,4,3,0.9925841689109802,0.9227167963981628,100
10,conv2,4,4,1.0,0.9227167963981628,100
10,fc1,0,0,1.0,0.7996279001235962,100
10,fc1,0,1,0.6742973327636719,0.7996279001235962,100
10,fc1,0,2,0.8827257752418518,0.7996279001235962,100
10,fc1,0,3,0.8866926431655884,0.7996279001235962,100
10,fc1,0,4,0.9158572554588318,0.7996279001235962,100
10,fc1,1,0,0.6742973327636719,0.7996279001235962,100
10,fc1,1,1,1.0,0.7996279001235962,100
10,fc1,1,2,0.6021236777305603,0.7996279001235962,100
10,fc1,1,3,0.5990556478500366,0.7996279001235962,100
10,fc1,1,4,0.6027757525444031,0.7996279001235962,100
10,fc1,2,0,0.8827257752418518,0.7996279001235962,100
10,fc1,2,1,0.6021236777305603,0.7996279001235962,100
10,fc1,2,2,1.0,0.7996279001235962,100
10,fc1,2,3,0.9551087021827698,0.7996279001235962,100
10,fc1,2,4,0.9409068822860718,0.7996279001235962,100
10,fc1,3,0,0.8866926431655884,0.7996279001235962,100
10,fc1,3,1,0.5990556478500366,0.7996279001235962,100
10,fc1,3,2,0.9551087021827698,0.7996279001235962,100
10,fc1,3,3,1.0,0.7996279001235962,100
10,fc1,3,4,0.9367350339889526,0.7996279001235962,100
10,fc1,4,0,0.9158572554588318,0.7996279001235962,100
10,fc1,4,1,0.6027757525444031,0.7996279001235962,100
10,fc1,4,2,0.9409068822860718,0.7996279001235962,100
10,fc1,4,3,0.9367350339889526,0.7996279001235962,100
10,fc1,4,4,1.0,0.7996279001235962,100
15,conv1,0,0,1.0,0.9988136291503906,100
15,conv1,0,1,0.9967506527900696,0.9988136291503906,100
15,conv1,0,2,0.9997769594192505,0.9988136291503906,100
15,conv1,0,3,0.9997824430465698,0.9988136291503906,100
15,conv1,0,4,0.9999142289161682,0.9988136291503906,100
15,conv1,1,0,0.9967506527900696,0.9988136291503906,100
15,conv1,1,1,1.0,0.9988136291503906,100
15,conv1,1,2,0.9975622892379761,0.9988136291503906,100
15,conv1,1,3,0.9974613785743713,0.9988136291503906,100
15,conv1,1,4,0.9969834685325623,0.9988136291503906,100
15,conv1,2,0,0.9997769594192505,0.9988136291503906,100
15,conv1,2,1,0.9975622892379761,0.9988136291503906,100
15,conv1,2,2,1.0,0.9988136291503906,100
15,conv1,2,3,0.9999987483024597,0.9988136291503906,100
15,conv1,2,4,0.9999488592147827,0.9988136291503906,100
15,conv1,3,0,0.9997824430465698,0.9988136291503906,100
15,conv1,3,1,0.9974613785743713,0.9988136291503906,100
15,conv1,3,2,0.9999987483024597,0.9988136291503906,100
15,conv1,3,3,1.0,0.9988136291503906,100
15,conv1,3,4,0.9999570250511169,0.9988136291503906,100
15,conv1,4,0,0.9999142289161682,0.9988136291503906,100
15,conv1,4,1,0.9969834685325623,0.9988136291503906,100
15,conv1,4,2,0.9999488592147827,0.9988136291503906,100
15,conv1,4,3,0.9999570250511169,0.9988136291503906,100
15,conv1,4,4,1.0,0.9988136291503906,100
15,conv2,0,0,1.0,0.9569090604782104,100
15,conv2,0,1,0.9037631750106812,0.9569090604782104,100
15,conv2,0,2,0.974865198135376,0.9569090604782104,100
15,conv2,0,3,0.9762700796127319,0.9569090604782104,100
15,conv2,0,4,0.9841330051422119,0.9569090604782104,100
15,conv2,1,0,0.9037631750106812,0.9569090604782104,100
15,conv2,1,1,1.0,0.9569090604782104,100
15,conv2,1,2,0.912064254283905,0.9569090604782104,100
15,conv2,1,3,0.9139388203620911,0.9569090604782104,100
15,conv2,1,4,0.9096009135246277,0.9569090604782104,100
15,conv2,2,0,0.974865198135376,0.9569090604782104,100
15,conv2,2,1,0.912064254283905,0.9569090604782104,100
15,conv2,2,2,1.0,0.9569090604782104,100
15,conv2,2,3,0.9994167685508728,0.9569090604782104,100
15,conv2,2,4,0.9971503019332886,0.9569090604782104,100
15,conv2,3,0,0.9762700796127319,0.9569090604782104,100
15,conv2,3,1,0.9139388203620911,0.9569090604782104,100
15,conv2,3,2,0.9994167685508728,0.9569090604782104,100
15,conv2,3,3,1.0,0.9569090604782104,100
15,conv2,3,4,0.9978883862495422,0.9569090604782104,100
15,conv2,4,0,0.9841330051422119,0.9569090604782104,100
15,conv2,4,1,0.9096009135246277,0.9569090604782104,100
15,conv2,4,2,0.9971503019332886,0.9569090604782104,100
15,conv2,4,3,0.9978883862495422,0.9569090604782104,100
15,conv2,4,4,1.0,0.9569090604782104,100
15,fc1,0,0,1.0,0.7830097079277039,100
15,fc1,0,1,0.5086700320243835,0.7830097079277039,100
15,fc1,0,2,0.8029997944831848,0.7830097079277039,100
15,fc1,0,3,0.8494235277175903,0.7830097079277039,100
15,fc1,0,4,0.8128431439399719,0.7830097079277039,100
15,fc1,1,0,0.5086700320243835,0.7830097079277039,100
15,fc1,1,1,1.0,0.7830097079277039,100
15,fc1,1,2,0.6523810029029846,0.7830097079277039,100
15,fc1,1,3,0.6361958384513855,0.7830097079277039,100
15,fc1,1,4,0.6372972130775452,0.7830097079277039,100
15,fc1,2,0,0.8029997944831848,0.7830097079277039,100
15,fc1,2,1,0.6523810029029846,0.7830097079277039,100
15,fc1,2,2,1.0,0.7830097079277039,100
15,fc1,2,3,0.9790063500404358,0.7830097079277039,100
15,fc1,2,4,0.9722236394882202,0.7830097079277039,100
15,fc1,3,0,0.8494235277175903,0.7830097079277039,100
15,fc1,3,1,0.6361958384513855,0.7830097079277039,100
15,fc1,3,2,0.9790063500404358,0.7830097079277039,100
15,fc1,3,3,1.0,0.7830097079277039,100
15,fc1,3,4,0.9790566563606262,0.7830097079277039,100
15,fc1,4,0,0.8128431439399719,0.7830097079277039,100
15,fc1,4,1,0.6372972130775452,0.7830097079277039,100
15,fc1,4,2,0.9722236394882202,0.7830097079277039,100
15,fc1,4,3,0.9790566563606262,0.7830097079277039,100
15,fc1,4,4,1.0,0.7830097079277039,100
20,conv1,0,0,1.0,0.9998041987419128,100
20,conv1,0,1,0.9995664358139038,0.9998041987419128,100
20,conv1,0,2,0.9998708367347717,0.9998041987419128,100
20,conv1,0,3,0.9998651146888733,0.9998041987419128,100
20,conv1,0,4,0.9998891949653625,0.9998041987419128,100
20,conv1,1,0,0.9995664358139038,0.9998041987419128,100
20,conv1,1,1,1.0,0.9998041987419128,100
20,conv1,1,2,0.9995911121368408,0.9998041987419128,100
20,conv1,1,3,0.9996644854545593,0.9998041987419128,100
20,conv1,1,4,0.9996066093444824,0.9998041987419128,100
20,conv1,2,0,0.9998708367347717,0.9998041987419128,100
20,conv1,2,1,0.9995911121368408,0.9998041987419128,100
20,conv1,2,2,1.0,0.9998041987419128,100
20,conv1,2,3,0.999995231628418,0.9998041987419128,100
20,conv1,2,4,0.9999984502792358,0.9998041987419128,100
20,conv1,3,0,0.9998651146888733,0.9998041987419128,100
20,conv1,3,1,0.9996644854545593,0.9998041987419128,100
20,conv1,3,2,0.999995231628418,0.9998041987419128,100
20,conv1,3,3,1.0,0.9998041987419128,100
20,conv1,3,4,0.9999952912330627,0.9998041987419128,100
20,conv1,4,0,0.9998891949653625,0.9998041987419128,100
20,conv1,4,1,0.9996066093444824,0.9998041987419128,100
20,conv1,4,2,0.9999984502792358,0.9998041987419128,100
20,conv1,4,3,0.9999952912330627,0.9998041987419128,100
20,conv1,4,4,1.0,0.9998041987419128,100
20,conv2,0,0,1.0,0.9877926111221313,100
20,conv2,0,1,0.9772146344184875,0.9877926111221313,100
20,conv2,0,2,0.9825044870376587,0.9877926111221313,100
20,conv2,0,3,0.9815642237663269,0.9877926111221313,100
20,conv2,0,4,0.9816687703132629,0.9877926111221313,100
20,conv2,1,0,0.9772146344184875,0.9877926111221313,100
20,conv2,1,1,1.0,0.9877926111221313,100
20,conv2,1,2,0.9854466915130615,0.9877926111221313,100
20,conv2,1,3,0.984932541847229,0.9877926111221313,100
20,conv2,1,4,0.9865483045578003,0.9877926111221313,100
20,conv2,2,0,0.9825044870376587,0.9877926111221313,100
20,conv2,2,1,0.9854466915130615,0.9877926111221313,100
20,conv2,2,2,1.0,0.9877926111221313,100
20,conv2,2,3,0.9994866251945496,0.9877926111221313,100
20,conv2,2,4,0.9995009303092957,0.9877926111221313,100
20,conv2,3,0,0.9815642237663269,0.9877926111221313,100
20,conv2,3,1,0.984932541847229,0.9877926111221313,100
20,conv2,3,2,0.9994866251945496,0.9877926111221313,100
20,conv2,3,3,1.0,0.9877926111221313,100
20,conv2,3,4,0.9990591406822205,0.9877926111221313,100
20,conv2,4,0,0.9816687703132629,0.9877926111221313,100
20,conv2,4,1,0.9865483045578003,0.9877926111221313,100
20,conv2,4,2,0.9995009303092957,0.9877926111221313,100
20,conv2,4,3,0.9990591406822205,0.9877926111221313,100
20,conv2,4,4,1.0,0.9877926111221313,100
20,fc1,0,0,1.0,0.8697673082351685,100
20,fc1,0,1,0.6794410347938538,0.8697673082351685,100
20,fc1,0,2,0.7304855585098267,0.8697673082351685,100
20,fc1,0,3,0.7861753106117249,0.8697673082351685,100
20,fc1,0,4,0.7472025156021118,0.8697673082351685,100
20,fc1,1,0,0.6794410347938538,0.8697673082351685,100
20,fc1,1,1,1.0,0.8697673082351685,100
20,fc1,1,2,0.9439047574996948,0.8697673082351685,100
20,fc1,1,3,0.9269803166389465,0.8697673082351685,100
20,fc1,1,4,0.9487330317497253,0.8697673082351685,100
20,fc1,2,0,0.7304855585098267,0.8697673082351685,100
