round,test_accuracy,test_loss,avg_train_loss,cka_computed,pruned_weights,regrown_weights,mask_changes,total_sparsity,active_params,total_params,layer_sparsity,layer_cka,layer_target_sparsity,sparsity_conv1_weight,sparsity_conv2_weight,sparsity_fc1_weight,sparsity_fc2_weight,cka_conv1,cka_conv2,cka_fc1,target_sparsity_conv1_weight,target_sparsity_conv2_weight,target_sparsity_fc1_weight,target_sparsity_fc2_weight
1,0.1995,2.2893314762115478,1.8600052638471127,0,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,,,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375,,,,,,,
2,0.5037,2.084490914916992,1.751660016728441,0,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,,,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375,,,,,,,
3,0.4436,2.103801703643799,1.6724732727110385,0,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,,,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375,,,,,,,
4,0.5312,1.975995191192627,1.6054445671300093,0,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,,,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375,,,,,,,
5,0.5767,1.4900620887756348,1.2870338154107333,1,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.767361;conv2.weight:0.779026;fc1.weight:0.800923;fc2.weight:0.819531,conv1:0.996386;conv2:0.891388;fc1:0.680992,conv1.weight:0.767361;conv2.weight:0.779026;fc1.weight:0.800923;fc2.weight:0.819531,0.7673611111111112,0.7790256076388888,0.8009232501594388,0.81953125,0.9963858723640442,0.8913876414299011,0.6809922456741333,0.7673611111111112,0.7790256076388888,0.8009232501594388,0.81953125
6,0.665,1.0863764781951903,0.8976831894603868,0,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.767361;conv2.weight:0.779026;fc1.weight:0.800923;fc2.weight:0.819531,conv1:0.996386;conv2:0.891388;fc1:0.680992,conv1.weight:0.767361;conv2.weight:0.779026;fc1.weight:0.800923;fc2.weight:0.819531,0.7673611111111112,0.7790256076388888,0.8009232501594388,0.81953125,0.9963858723640442,0.8913876414299011,0.6809922456741333,0.7673611111111112,0.7790256076388888,0.8009232501594388,0.81953125
7,0.7474,0.7274878042221069,0.5811027236693849,0,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.767361;conv2.weight:0.779026;fc1.weight:0.800923;fc2.weight:0.819531,conv1:0.996386;conv2:0.891388;fc1:0.680992,conv1.weight:0.767361;conv2.weight:0.779026;fc1.weight:0.800923;fc2.weight:0.819531,0.7673611111111112,0.7790256076388888,0.8009232501594388,0.81953125,0.9963858723640442,0.8913876414299011,0.6809922456741333,0.7673611111111112,0.7790256076388888,0.8009232501594388,0.81953125
8,0.8133,0.5461440770149231,0.38254802292051415,0,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.767361;conv2.weight:0.779026;fc1.weight:0.800923;fc2.weight:0.819531,conv1:0.996386;conv2:0.891388;fc1:0.680992,conv1.weight:0.767361;conv2.weight:0.779026;fc1.weight:0.800923;fc2.weight:0.819531,0.7673611111111112,0.7790256076388888,0.8009232501594388,0.81953125,0.9963858723640442,0.8913876414299011,0.6809922456741333,0.7673611111111112,0.7790256076388888,0.8009232501594388,0.81953125
9,0.8773,0.3997962884902954,0.29307154853514705,0,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.767361;conv2.weight:0.779026;fc1.weight:0.800923;fc2.weight:0.819531,conv1:0.996386;conv2:0.891388;fc1:0.680992,conv1.weight:0.767361;conv2.weight:0.779026;fc1.weight:0.800923;fc2.weight:0.819531,0.7673611111111112,0.7790256076388888,0.8009232501594388,0.81953125,0.9963858723640442,0.8913876414299011,0.6809922456741333,0.7673611111111112,0.7790256076388888,0.8009232501594388,0.81953125
10,0.8889,0.40478423166275024,0.2910453605735054,1,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.781250;conv2.weight:0.788140;fc1.weight:0.800460;fc2.weight:0.830469,conv1:0.999407;conv2:0.922717;fc1:0.799628,conv1.weight:0.781250;conv2.weight:0.788140;fc1.weight:0.800460;fc2.weight:0.830469,0.78125,0.7881401909722222,0.8004598812181123,0.83046875,0.9994069933891296,0.9227167963981628,0.7996279001235962,0.78125,0.7881401909722222,0.8004598812181123,0.83046875
11,0.9312,0.25563906025886535,0.2162393722890566,0,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.781250;conv2.weight:0.788140;fc1.weight:0.800460;fc2.weight:0.830469,conv1:0.999407;conv2:0.922717;fc1:0.799628,conv1.weight:0.781250;conv2.weight:0.788140;fc1.weight:0.800460;fc2.weight:0.830469,0.78125,0.7881401909722222,0.8004598812181123,0.83046875,0.9994069933891296,0.9227167963981628,0.7996279001235962,0.78125,0.7881401909722222,0.8004598812181123,0.83046875
12,0.9342,0.2291962010383606,0.211256736568672,0,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.781250;conv2.weight:0.788140;fc1.weight:0.800460;fc2.weight:0.830469,conv1:0.999407;conv2:0.922717;fc1:0.799628,conv1.weight:0.781250;conv2.weight:0.788140;fc1.weight:0.800460;fc2.weight:0.830469,0.78125,0.7881401909722222,0.8004598812181123,0.83046875,0.9994069933891296,0.9227167963981628,0.7996279001235962,0.78125,0.7881401909722222,0.8004598812181123,0.83046875
13,0.9242,0.2587088199615479,0.22269348203763367,0,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.781250;conv2.weight:0.788140;fc1.weight:0.800460;fc2.weight:0.830469,conv1:0.999407;conv2:0.922717;fc1:0.799628,conv1.weight:0.781250;conv2.weight:0.788140;fc1.weight:0.800460;fc2.weight:0.830469,0.78125,0.7881401909722222,0.8004598812181123,0.83046875,0.9994069933891296,0.9227167963981628,0.7996279001235962,0.78125,0.7881401909722222,0.8004598812181123,0.83046875
14,0.95,0.16553653650283814,0.15876251689083876,0,8428,8428,16856,0.7999990508011239,84282,421408,conv1.weight:0.781250;conv2.weight:0.788140;fc1.weight:0.800460;fc2.weight:0.830469,conv1:0.999407;conv2:0.922717;fc1:0.799628,conv1.weight:0.781250;conv2.weight:0.788140;fc1.weight:0.800460;fc2.weight:0.830469,0.78125,0.7881401909722222,0.8004598812181123,0.83046875,0.9994069933891296,0.9227167963981628,0.7996279001235962,0.78125,0.7881401909722222,0.8004598812181123,0.83046875
