suite_id,suite,run_index,total_runs,method,seed,sparsity,cka_strength,global_config,config,log_dir,checkpoint_dir,plot_dir,command,status
cifar10,cka_strength,1,125,cka_feddst,42,0.5,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_42,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_42,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.5 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_42 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_42 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,2,125,cka_feddst,42,0.7,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_42,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_42,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.7 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_42 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_42 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,3,125,cka_feddst,42,0.8,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_42,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_42,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.8 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_42 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_42 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,4,125,cka_feddst,42,0.9,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_42,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_42,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.9 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_42 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_42 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,5,125,cka_feddst,42,0.95,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_42,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_42,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.95 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_42 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_42 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,6,125,cka_feddst,7,0.5,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_7,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_7,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 7 --sparsity 0.5 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_7 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_7 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,7,125,cka_feddst,7,0.7,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_7,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_7,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 7 --sparsity 0.7 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_7 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_7 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,8,125,cka_feddst,7,0.8,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_7,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_7,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 7 --sparsity 0.8 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_7 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_7 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,9,125,cka_feddst,7,0.9,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_7,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_7,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 7 --sparsity 0.9 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_7 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_7 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,10,125,cka_feddst,7,0.95,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_7,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_7,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 7 --sparsity 0.95 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_7 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_7 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,11,125,cka_feddst,13,0.5,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_13,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_13,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 13 --sparsity 0.5 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_13 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_13 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,12,125,cka_feddst,13,0.7,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_13,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_13,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 13 --sparsity 0.7 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_13 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_13 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,13,125,cka_feddst,13,0.8,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_13,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_13,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 13 --sparsity 0.8 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_13 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_13 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,14,125,cka_feddst,13,0.9,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_13,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_13,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 13 --sparsity 0.9 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_13 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_13 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,15,125,cka_feddst,13,0.95,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_13,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_13,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 13 --sparsity 0.95 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_13 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_13 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,16,125,cka_feddst,21,0.5,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_21,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_21,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 21 --sparsity 0.5 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_21 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_21 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,17,125,cka_feddst,21,0.7,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_21,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_21,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 21 --sparsity 0.7 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_21 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_21 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,18,125,cka_feddst,21,0.8,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_21,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_21,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 21 --sparsity 0.8 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_21 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_21 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,19,125,cka_feddst,21,0.9,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_21,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_21,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 21 --sparsity 0.9 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_21 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_21 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,20,125,cka_feddst,21,0.95,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_21,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_21,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 21 --sparsity 0.95 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_21 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_21 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,21,125,cka_feddst,100,0.5,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_100,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_100,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 100 --sparsity 0.5 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_100 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_100 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,22,125,cka_feddst,100,0.7,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_100,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_100,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 100 --sparsity 0.7 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_100 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_100 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,23,125,cka_feddst,100,0.8,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_100,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_100,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 100 --sparsity 0.8 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_100 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_100 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,24,125,cka_feddst,100,0.9,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_100,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_100,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 100 --sparsity 0.9 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_100 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_100 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
cifar10,cka_strength,25,125,cka_feddst,100,0.95,0.2,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_100,results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_100,results/plots/cka_strength_sweep/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 100 --sparsity 0.95 --cka-strength 0.2 --log-dir results/logs/cka_strength_sweep/cifar10/strength_0p2/seed_100 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10/strength_0p2/seed_100 --plot-dir results/plots/cka_strength_sweep/cifar10,passed
