method,dataset,sparsity,seed,split_manifest_path,cka_strength,round,test_accuracy,test_loss,evaluated,avg_train_loss,cka_computed,pruned_weights,regrown_weights,mask_changes,total_sparsity,active_params,total_params,layer_sparsity,layer_cka,layer_target_sparsity,sparsity_conv1_weight,sparsity_conv2_weight,sparsity_fc1_weight,sparsity_fc2_weight,cka_conv1,cka_conv2,cka_fc1,target_sparsity_conv1_weight,target_sparsity_conv2_weight,target_sparsity_fc1_weight,target_sparsity_fc2_weight
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,1,0.3638,1.9990079013824462,1,1.6853118162579759,0,0,0,0,0.5,210704,421408,conv1.weight:0.513889;conv2.weight:0.502767;fc1.weight:0.499773;fc2.weight:0.528125,,,0.5138888888888888,0.5027669270833333,0.4997732979910714,0.528125,,,,,,,
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,2,0.3924,1.5021441478729247,1,0.845933462881723,1,42141,42105,84246,0.5000854278988534,210668,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.528125,conv1:0.999976;conv2:0.999979;fc1:0.978266,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.528125,0.9999763369560242,0.9999788403511047,0.9782661199569702,0.5,0.5,0.5,
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,3,0.57,1.1988482852935791,1,0.6068715108178531,0,0,0,0,0.5000854278988534,210668,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.528125,conv1:0.999976;conv2:0.999979;fc1:0.978266,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.528125,0.9999763369560242,0.9999788403511047,0.9782661199569702,0.5,0.5,0.5,
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,4,0.6163,1.0244238047599792,1,0.5364892126394305,1,42134,42134,84268,0.5000854278988534,210668,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.528125,conv1:0.999999;conv2:0.999997;fc1:0.988985,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.528125,0.9999986886978149,0.9999968409538269,0.9889845848083496,0.5,0.5,0.5,
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,5,0.601,1.0369139135360719,1,0.4921343587897095,0,0,0,0,0.5000854278988534,210668,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.528125,conv1:0.999999;conv2:0.999997;fc1:0.988985,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.528125,0.9999986886978149,0.9999968409538269,0.9889845848083496,0.5,0.5,0.5,
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,6,0.6494,0.9132652232170105,1,0.47125781640821574,1,42134,42134,84268,0.5000854278988534,210668,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.528125,conv1:0.999998;conv2:0.999998;fc1:0.994827,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.528125,0.9999984502792358,0.9999984502792358,0.99482661485672,0.5,0.5,0.5,
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,7,0.685,0.8268035521507263,1,0.4811061375127189,0,0,0,0,0.5000854278988534,210668,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.528125,conv1:0.999998;conv2:0.999998;fc1:0.994827,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.528125,0.9999984502792358,0.9999984502792358,0.99482661485672,0.5,0.5,0.5,
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,8,0.6688,0.889311813545227,1,0.4622590163446664,1,42134,42134,84268,0.5000854278988534,210668,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.528125,conv1:0.999999;conv2:0.999997;fc1:0.989947,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.528125,0.9999994039535522,0.9999972581863403,0.9899468421936035,0.5,0.5,0.5,
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,9,0.6964,0.8132245298862457,1,0.43449151425569454,0,0,0,0,0.5000854278988534,210668,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.528125,conv1:0.999999;conv2:0.999997;fc1:0.989947,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.528125,0.9999994039535522,0.9999972581863403,0.9899468421936035,0.5,0.5,0.5,
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,10,0.7004,0.822501129245758,1,0.4264909343934776,1,42134,42134,84268,0.5000854278988534,210668,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.528125,conv1:0.999999;conv2:0.999999;fc1:0.992696,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.528125,0.9999992251396179,0.9999988675117493,0.9926956295967102,0.5,0.5,0.5,
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,11,0.6916,0.8327489640235901,1,0.44245608312977996,0,0,0,0,0.5000854278988534,210668,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.528125,conv1:0.999999;conv2:0.999999;fc1:0.992696,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.528125,0.9999992251396179,0.9999988675117493,0.9926956295967102,0.5,0.5,0.5,
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,12,0.7073,0.8075659462928771,1,0.4272985415205197,1,42134,42134,84268,0.5000854278988534,210668,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.528125,conv1:0.999999;conv2:0.999997;fc1:0.990786,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.528125,0.9999991655349731,0.9999969601631165,0.9907855987548828,0.5,0.5,0.5,
cka_feddst,fashion_mnist,0.5,7,results/logs/cka_strength_sweep/fashion_mnist_all_20260517_180855/strength_1p0/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,1.0,13,0.7071,0.8054994929313659,1,0.4069355005402754,0,0,0,0,0.5000854278988534,210668,421408,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000;fc2.weight:0.528125,conv1:0.999999;conv2:0.999997;fc1:0.990786,conv1.weight:0.500000;conv2.weight:0.500000;fc1.weight:0.500000,0.5,0.5,0.5,0.528125,0.9999991655349731,0.9999969601631165,0.9907855987548828,0.5,0.5,0.5,
