method,dataset,sparsity,seed,round,test_accuracy,test_loss,avg_train_loss
fedavg,mnist,0.0,42,1,0.3651,2.053558424949646,1.591320400297145
fedavg,mnist,0.0,42,2,0.6474,1.094097183227539,0.7077668266149858
fedavg,mnist,0.0,42,3,0.7314,0.7263278098106384,0.3702393667332828
fedavg,mnist,0.0,42,4,0.7751,0.5810972382068634,0.29858173087872564
fedavg,mnist,0.0,42,5,0.8155,0.504725925731659,0.26744227544330057
fedavg,mnist,0.0,42,6,0.8291,0.4687636117219925,0.2417945164747536
fedavg,mnist,0.0,42,7,0.8456,0.4370146475791931,0.22329231832548976
fedavg,mnist,0.0,42,8,0.8607,0.40789947791099546,0.21191555664439998
fedavg,mnist,0.0,42,9,0.8592,0.40940511598587037,0.20028557559835414
fedavg,mnist,0.0,42,10,0.8743,0.3697977349758148,0.1945017782607426
fedavg,mnist,0.0,42,11,0.8878,0.3444372208833694,0.18306503759038945
fedavg,mnist,0.0,42,12,0.9003,0.3066579831600189,0.1685069732026818
fedavg,mnist,0.0,42,13,0.9055,0.2937982784748077,0.16203452401266744
fedavg,mnist,0.0,42,14,0.8942,0.3090520316839218,0.1547023906281218
fedavg,mnist,0.0,42,15,0.8974,0.2999284806013107,0.14704447866951426
fedavg,mnist,0.0,42,16,0.8935,0.30386019496917727,0.14039700108654796
fedavg,mnist,0.0,42,17,0.919,0.25455983918905256,0.13612612219640674
fedavg,mnist,0.0,42,18,0.9096,0.26951400294303895,0.12841346330891054
fedavg,mnist,0.0,42,19,0.9162,0.25289338343143464,0.12301547668967397
fedavg,mnist,0.0,42,20,0.9124,0.2557553117156029,0.12068713805691028
