round,test_accuracy,test_loss,avg_train_loss
1,0.3096,2.239943915939331,1.8102804170131683
2,0.4374,1.7517550163269042,1.446354372120897
3,0.6147,1.2041909648895264,1.0302562030022344
4,0.6305,1.0835876134872438,0.7165491232747833
5,0.7166,0.745231316280365,0.5778308239070078
6,0.747,0.6690378469467163,0.4833861219877998
7,0.7728,0.6133166576385498,0.4182256062967082
8,0.8249,0.5236348533630371,0.38549655670722327
9,0.8218,0.5243779990196228,0.3533489759815236
10,0.8336,0.49772569818496704,0.36540974108489854
11,0.8565,0.4499963581085205,0.2992405327138801
12,0.8775,0.40862046880722047,0.32207614643871785
13,0.8861,0.3851267619132996,0.2937403079760571
14,0.8823,0.38516720495224,0.2680317431638638
15,0.8734,0.4031327111244202,0.2756604155279696
16,0.8824,0.36975622329711916,0.26785378570954005
17,0.8909,0.35554603128433226,0.23956267266397677
18,0.8901,0.35357079067230224,0.2463398087958495
19,0.898,0.32936439809799195,0.2551594255529344
20,0.8966,0.32291047039031984,0.23470363112464546
