method,dataset,sparsity,seed,round,test_accuracy,test_loss,avg_train_loss,pruned_weights,regrown_weights,mask_changes,total_sparsity,active_params,total_params,layer_sparsity,sparsity_conv1_weight,sparsity_conv2_weight,sparsity_fc1_weight,sparsity_fc2_weight
feddst,mnist,0.95,42,1,0.098,2.303302576446533,2.1925649217804275,0,0,0,0.9500009491988761,21070,421408,conv1.weight:0.961806;conv2.weight:0.948405;fc1.weight:0.950058;fc2.weight:0.952344,0.9618055555555556,0.9484049479166666,0.950058294802296,0.95234375
feddst,mnist,0.95,42,2,0.098,2.304206312561035,2.19325319917202,4213,4213,8426,0.9500009491988761,21070,421408,conv1.weight:0.961806;conv2.weight:0.948405;fc1.weight:0.950058;fc2.weight:0.952344,0.9618055555555556,0.9484049479166666,0.950058294802296,0.95234375
feddst,mnist,0.95,42,3,0.098,2.305441039276123,2.1926766419609387,0,0,0,0.9500009491988761,21070,421408,conv1.weight:0.961806;conv2.weight:0.948405;fc1.weight:0.950058;fc2.weight:0.952344,0.9618055555555556,0.9484049479166666,0.950058294802296,0.95234375
feddst,mnist,0.95,42,4,0.1135,2.30665825881958,2.191350942758719,4213,4213,8426,0.9500009491988761,21070,421408,conv1.weight:0.961806;conv2.weight:0.948405;fc1.weight:0.950058;fc2.weight:0.952344,0.9618055555555556,0.9484049479166666,0.950058294802296,0.95234375
feddst,mnist,0.95,42,5,0.1135,2.308071675491333,2.1938874132196107,0,0,0,0.9500009491988761,21070,421408,conv1.weight:0.961806;conv2.weight:0.948405;fc1.weight:0.950058;fc2.weight:0.952344,0.9618055555555556,0.9484049479166666,0.950058294802296,0.95234375
feddst,mnist,0.95,42,6,0.101,2.3100693710327147,2.1818868785103165,4213,4213,8426,0.9500009491988761,21070,421408,conv1.weight:0.961806;conv2.weight:0.948405;fc1.weight:0.950058;fc2.weight:0.952344,0.9618055555555556,0.9484049479166666,0.950058294802296,0.95234375
feddst,mnist,0.95,42,7,0.101,2.321098105621338,2.1066015167295933,0,0,0,0.9500009491988761,21070,421408,conv1.weight:0.961806;conv2.weight:0.948405;fc1.weight:0.950058;fc2.weight:0.952344,0.9618055555555556,0.9484049479166666,0.950058294802296,0.95234375
feddst,mnist,0.95,42,8,0.1713,2.4025628593444823,1.8661116179287434,4213,4213,8426,0.9500009491988761,21070,421408,conv1.weight:0.961806;conv2.weight:0.948405;fc1.weight:0.950058;fc2.weight:0.952344,0.9618055555555556,0.9484049479166666,0.950058294802296,0.95234375
feddst,mnist,0.95,42,9,0.1032,2.461110805130005,1.75330783705314,0,0,0,0.9500009491988761,21070,421408,conv1.weight:0.961806;conv2.weight:0.948405;fc1.weight:0.950058;fc2.weight:0.952344,0.9618055555555556,0.9484049479166666,0.950058294802296,0.95234375
feddst,mnist,0.95,42,10,0.1032,2.4889030380249024,1.7116519938031833,4213,4213,8426,0.9500009491988761,21070,421408,conv1.weight:0.961806;conv2.weight:0.948405;fc1.weight:0.950058;fc2.weight:0.952344,0.9618055555555556,0.9484049479166666,0.950058294802296,0.95234375
