suite_id,suite,run_index,total_runs,method,seed,sparsity,cka_strength,config,log_dir,checkpoint_dir,plot_dir,command,status
all_20260516_024344,multiseed,1,205,fedavg,42,,,configs/fedavg_mnist.yaml,results/logs/multiseed/all_20260516_024344/seed_42,results/checkpoints/multiseed/all_20260516_024344/seed_42,results/plots/multiseed/all_20260516_024344,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --config configs/fedavg_mnist.yaml --seed 42 --log-dir results/logs/multiseed/all_20260516_024344/seed_42 --checkpoint-dir results/checkpoints/multiseed/all_20260516_024344/seed_42 --plot-dir results/plots/multiseed/all_20260516_024344,passed
all_20260516_024344,multiseed,2,205,sparse_fedavg,42,0.5,,configs/sparse_fedavg_mnist.yaml,results/logs/multiseed/all_20260516_024344/seed_42,results/checkpoints/multiseed/all_20260516_024344/seed_42,results/plots/multiseed/all_20260516_024344,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --config configs/sparse_fedavg_mnist.yaml --seed 42 --sparsity 0.5 --log-dir results/logs/multiseed/all_20260516_024344/seed_42 --checkpoint-dir results/checkpoints/multiseed/all_20260516_024344/seed_42 --plot-dir results/plots/multiseed/all_20260516_024344,passed
all_20260516_024344,multiseed,3,205,feddst,42,0.5,,configs/feddst_mnist.yaml,results/logs/multiseed/all_20260516_024344/seed_42,results/checkpoints/multiseed/all_20260516_024344/seed_42,results/plots/multiseed/all_20260516_024344,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --config configs/feddst_mnist.yaml --seed 42 --sparsity 0.5 --log-dir results/logs/multiseed/all_20260516_024344/seed_42 --checkpoint-dir results/checkpoints/multiseed/all_20260516_024344/seed_42 --plot-dir results/plots/multiseed/all_20260516_024344,passed
all_20260516_024344,multiseed,4,205,cka_feddst,42,0.5,,configs/cka_feddst_mnist.yaml,results/logs/multiseed/all_20260516_024344/seed_42,results/checkpoints/multiseed/all_20260516_024344/seed_42,results/plots/multiseed/all_20260516_024344,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.5 --log-dir results/logs/multiseed/all_20260516_024344/seed_42 --checkpoint-dir results/checkpoints/multiseed/all_20260516_024344/seed_42 --plot-dir results/plots/multiseed/all_20260516_024344,passed
all_20260516_024344,multiseed,5,205,sparse_fedavg,42,0.7,,configs/sparse_fedavg_mnist.yaml,results/logs/multiseed/all_20260516_024344/seed_42,results/checkpoints/multiseed/all_20260516_024344/seed_42,results/plots/multiseed/all_20260516_024344,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --config configs/sparse_fedavg_mnist.yaml --seed 42 --sparsity 0.7 --log-dir results/logs/multiseed/all_20260516_024344/seed_42 --checkpoint-dir results/checkpoints/multiseed/all_20260516_024344/seed_42 --plot-dir results/plots/multiseed/all_20260516_024344,passed
all_20260516_024344,multiseed,6,205,feddst,42,0.7,,configs/feddst_mnist.yaml,results/logs/multiseed/all_20260516_024344/seed_42,results/checkpoints/multiseed/all_20260516_024344/seed_42,results/plots/multiseed/all_20260516_024344,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --config configs/feddst_mnist.yaml --seed 42 --sparsity 0.7 --log-dir results/logs/multiseed/all_20260516_024344/seed_42 --checkpoint-dir results/checkpoints/multiseed/all_20260516_024344/seed_42 --plot-dir results/plots/multiseed/all_20260516_024344,passed
all_20260516_024344,multiseed,7,205,cka_feddst,42,0.7,,configs/cka_feddst_mnist.yaml,results/logs/multiseed/all_20260516_024344/seed_42,results/checkpoints/multiseed/all_20260516_024344/seed_42,results/plots/multiseed/all_20260516_024344,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.7 --log-dir results/logs/multiseed/all_20260516_024344/seed_42 --checkpoint-dir results/checkpoints/multiseed/all_20260516_024344/seed_42 --plot-dir results/plots/multiseed/all_20260516_024344,passed
all_20260516_024344,multiseed,8,205,sparse_fedavg,42,0.8,,configs/sparse_fedavg_mnist.yaml,results/logs/multiseed/all_20260516_024344/seed_42,results/checkpoints/multiseed/all_20260516_024344/seed_42,results/plots/multiseed/all_20260516_024344,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --config configs/sparse_fedavg_mnist.yaml --seed 42 --sparsity 0.8 --log-dir results/logs/multiseed/all_20260516_024344/seed_42 --checkpoint-dir results/checkpoints/multiseed/all_20260516_024344/seed_42 --plot-dir results/plots/multiseed/all_20260516_024344,passed
all_20260516_024344,multiseed,9,205,feddst,42,0.8,,configs/feddst_mnist.yaml,results/logs/multiseed/all_20260516_024344/seed_42,results/checkpoints/multiseed/all_20260516_024344/seed_42,results/plots/multiseed/all_20260516_024344,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --config configs/feddst_mnist.yaml --seed 42 --sparsity 0.8 --log-dir results/logs/multiseed/all_20260516_024344/seed_42 --checkpoint-dir results/checkpoints/multiseed/all_20260516_024344/seed_42 --plot-dir results/plots/multiseed/all_20260516_024344,passed
all_20260516_024344,multiseed,10,205,cka_feddst,42,0.8,,configs/cka_feddst_mnist.yaml,results/logs/multiseed/all_20260516_024344/seed_42,results/checkpoints/multiseed/all_20260516_024344/seed_42,results/plots/multiseed/all_20260516_024344,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.8 --log-dir results/logs/multiseed/all_20260516_024344/seed_42 --checkpoint-dir results/checkpoints/multiseed/all_20260516_024344/seed_42 --plot-dir results/plots/multiseed/all_20260516_024344,passed
