method,dataset,sparsity,seed,split_manifest_path,cka_strength,round,test_accuracy,test_loss,evaluated,avg_train_loss,cka_computed,pruned_weights,regrown_weights,mask_changes,total_sparsity,active_params,total_params,layer_sparsity,layer_cka,layer_target_sparsity,sparsity_conv1_weight,sparsity_conv2_weight,sparsity_fc1_weight,sparsity_fc2_weight,cka_conv1,cka_conv2,cka_fc1,target_sparsity_conv1_weight,target_sparsity_conv2_weight,target_sparsity_fc1_weight,target_sparsity_fc2_weight
cka_feddst,mnist,0.7,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,0.2,1,0.1189,2.2894386768341066,1,2.0762860343866922,0,0,0,0,0.7000009491988761,126422,421408,conv1.weight:0.739583;conv2.weight:0.704264;fc1.weight:0.699797;fc2.weight:0.693750,,,0.7395833333333333,0.7042643229166667,0.6997967155612245,0.69375,,,,,,,
cka_feddst,mnist,0.7,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,0.2,2,0.3309,2.269171719360352,1,1.7309409686434627,1,25284,25292,50576,0.6999819652213533,126430,421408,conv1.weight:0.694444;conv2.weight:0.696072;fc1.weight:0.700185;fc2.weight:0.693750,conv1:0.999980;conv2:0.999932;fc1:0.931768,conv1.weight:0.694444;conv2.weight:0.696072;fc1.weight:0.700185,0.6944444444444444,0.6960720486111112,0.7001853475765306,0.69375,0.9999801516532898,0.9999324083328247,0.9317675828933716,0.6944444444444444,0.6960720486111112,0.7001853475765306,
cka_feddst,mnist,0.7,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,0.2,3,0.4476,1.6287334201812744,1,0.9993724096240009,0,0,0,0,0.6999819652213533,126430,421408,conv1.weight:0.694444;conv2.weight:0.696072;fc1.weight:0.700185;fc2.weight:0.693750,conv1:0.999980;conv2:0.999932;fc1:0.931768,conv1.weight:0.694444;conv2.weight:0.696072;fc1.weight:0.700185,0.6944444444444444,0.6960720486111112,0.7001853475765306,0.69375,0.9999801516532898,0.9999324083328247,0.9317675828933716,0.6944444444444444,0.6960720486111112,0.7001853475765306,
cka_feddst,mnist,0.7,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,0.2,4,0.608,1.1119778310775756,1,0.4991639531052431,1,25286,25286,50572,0.6999819652213533,126430,421408,conv1.weight:0.697917;conv2.weight:0.697157;fc1.weight:0.700133;fc2.weight:0.693750,conv1:0.999998;conv2:0.999956;fc1:0.950543,conv1.weight:0.697917;conv2.weight:0.697157;fc1.weight:0.700133,0.6979166666666667,0.6971571180555556,0.7001330317283163,0.69375,0.9999982714653015,0.9999555349349976,0.9505432844161987,0.6979166666666667,0.6971571180555556,0.7001330317283163,
cka_feddst,mnist,0.7,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,0.2,5,0.7304,0.7560133340835571,1,0.3709007952439546,0,0,0,0,0.6999819652213533,126430,421408,conv1.weight:0.697917;conv2.weight:0.697157;fc1.weight:0.700133;fc2.weight:0.693750,conv1:0.999998;conv2:0.999956;fc1:0.950543,conv1.weight:0.697917;conv2.weight:0.697157;fc1.weight:0.700133,0.6979166666666667,0.6971571180555556,0.7001330317283163,0.69375,0.9999982714653015,0.9999555349349976,0.9505432844161987,0.6979166666666667,0.6971571180555556,0.7001330317283163,
cka_feddst,mnist,0.7,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,0.2,6,0.7435,0.7118296053886414,1,0.3116258629882415,1,25285,25285,50570,0.6999819652213533,126430,421408,conv1.weight:0.697917;conv2.weight:0.698839;fc1.weight:0.700056;fc2.weight:0.693750,conv1:1.000000;conv2:0.999984;fc1:0.979523,conv1.weight:0.697917;conv2.weight:0.698839;fc1.weight:0.700056,0.6979166666666667,0.6988389756944444,0.7000558035714286,0.69375,0.9999995231628418,0.9999836087226868,0.9795233011245728,0.6979166666666667,0.6988389756944444,0.7000558035714286,
cka_feddst,mnist,0.7,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,0.2,7,0.8123,0.5538742315292359,1,0.2961493551747306,0,0,0,0,0.6999819652213533,126430,421408,conv1.weight:0.697917;conv2.weight:0.698839;fc1.weight:0.700056;fc2.weight:0.693750,conv1:1.000000;conv2:0.999984;fc1:0.979523,conv1.weight:0.697917;conv2.weight:0.698839;fc1.weight:0.700056,0.6979166666666667,0.6988389756944444,0.7000558035714286,0.69375,0.9999995231628418,0.9999836087226868,0.9795233011245728,0.6979166666666667,0.6988389756944444,0.7000558035714286,
cka_feddst,mnist,0.7,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,0.2,8,0.8131,0.5411483530044555,1,0.270501683043397,1,25285,25285,50570,0.6999819652213533,126430,421408,conv1.weight:0.697917;conv2.weight:0.698676;fc1.weight:0.700063;fc2.weight:0.693750,conv1:1.000000;conv2:0.999979;fc1:0.977134,conv1.weight:0.697917;conv2.weight:0.698676;fc1.weight:0.700063,0.6979166666666667,0.6986762152777778,0.7000632772640306,0.69375,0.9999996423721313,0.9999786615371704,0.9771340489387512,0.6979166666666667,0.6986762152777778,0.7000632772640306,
cka_feddst,mnist,0.7,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,0.2,9,0.8345,0.4899062783241272,1,0.24806086411643585,0,0,0,0,0.6999819652213533,126430,421408,conv1.weight:0.697917;conv2.weight:0.698676;fc1.weight:0.700063;fc2.weight:0.693750,conv1:1.000000;conv2:0.999979;fc1:0.977134,conv1.weight:0.697917;conv2.weight:0.698676;fc1.weight:0.700063,0.6979166666666667,0.6986762152777778,0.7000632772640306,0.69375,0.9999996423721313,0.9999786615371704,0.9771340489387512,0.6979166666666667,0.6986762152777778,0.7000632772640306,
cka_feddst,mnist,0.7,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,0.2,10,0.8401,0.46942933197021486,1,0.23925263498576488,1,25285,25285,50570,0.6999819652213533,126430,421408,conv1.weight:0.697917;conv2.weight:0.698947;fc1.weight:0.700051;fc2.weight:0.693750,conv1:1.000000;conv2:0.999987;fc1:0.981448,conv1.weight:0.697917;conv2.weight:0.698947;fc1.weight:0.700051,0.6979166666666667,0.6989474826388888,0.7000508211096939,0.69375,0.9999997019767761,0.9999872446060181,0.9814481735229492,0.6979166666666667,0.6989474826388888,0.7000508211096939,
cka_feddst,mnist,0.7,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,0.2,11,0.8436,0.46041099414825437,1,0.23121180454524465,0,0,0,0,0.6999819652213533,126430,421408,conv1.weight:0.697917;conv2.weight:0.698947;fc1.weight:0.700051;fc2.weight:0.693750,conv1:1.000000;conv2:0.999987;fc1:0.981448,conv1.weight:0.697917;conv2.weight:0.698947;fc1.weight:0.700051,0.6979166666666667,0.6989474826388888,0.7000508211096939,0.69375,0.9999997019767761,0.9999872446060181,0.9814481735229492,0.6979166666666667,0.6989474826388888,0.7000508211096939,
