method,dataset,sparsity,seed,split_manifest_path,cka_strength,round,test_accuracy,test_loss,evaluated,avg_train_loss
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,1,0.3609,2.0270313190460203,1,1.4795380509637273
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,2,0.5806,1.2671020526885985,1,0.6129255603293711
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,3,0.7483,0.766109821987152,1,0.3601549633465283
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,4,0.792,0.6005239636421204,1,0.2873957009775483
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,5,0.8367,0.48315844168663025,1,0.2449566066180384
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,6,0.8308,0.4901515106201172,1,0.2192791065207393
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,7,0.8684,0.40311266078948976,1,0.20014052771318416
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,8,0.8815,0.37210288989543916,1,0.18682269282888211
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,9,0.8904,0.3546443175315857,1,0.1714880026420921
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,10,0.8991,0.32407366149425504,1,0.1637997686152773
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,11,0.8976,0.3274444862127304,1,0.1493983191140868
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,12,0.9032,0.3065517987012863,1,0.1413548730879424
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,13,0.9125,0.27663602216243743,1,0.1319939898900115
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,14,0.9134,0.2776153524518013,1,0.1261333783753341
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,15,0.9178,0.25889904915094375,1,0.11721242691873009
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,16,0.9273,0.23876068395376204,1,0.1109308847037446
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,17,0.9289,0.23140628592967988,1,0.10518251545241346
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,18,0.9304,0.22098473208546637,1,0.09986956042489878
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,19,0.9358,0.20978219740390777,1,0.09609775730349547
fedavg,mnist,0.0,100,results/logs/multiseed/all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,20,0.9393,0.19442742348909378,1,0.09277716734698883
