method,dataset,sparsity,seed,split_manifest_path,cka_strength,round,test_accuracy,test_loss,evaluated,avg_train_loss
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,1,0.163,2.3193874809265136,1,1.7287625965855338
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,2,0.2021,2.222944743537903,1,1.5288158881375282
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,3,0.2132,2.156294974708557,1,1.4388272736301324
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,4,0.2386,2.059664499282837,1,1.3756340688436923
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,5,0.2519,2.023736043930054,1,1.3314424049083633
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,6,0.2761,1.9199058000564575,1,1.2907337389979698
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,7,0.3293,1.8248615177154541,1,1.2509802615835208
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,8,0.3343,1.764610453414917,1,1.2118401917730919
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,9,0.3706,1.6813040246963502,1,1.1864629485595106
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,10,0.3631,1.6884832294464112,1,1.1635560976221706
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,11,0.3466,1.7491651643753052,1,1.1411452686804713
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,12,0.3935,1.6290500396728516,1,1.1270752993204978
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,13,0.417,1.5623824863433837,1,1.106065951571922
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,14,0.3993,1.636514596557617,1,1.0943189137090337
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,15,0.4425,1.5092292280197144,1,1.0795295267851666
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,16,0.3724,1.6742644823074342,1,1.0659377541012234
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,17,0.4206,1.5854533987045287,1,1.056475747472108
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,18,0.4491,1.504803754234314,1,1.0442787338052735
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,19,0.4474,1.4906321660995483,1,1.0352707371362533
fedavg,cifar10,0.0,7,results/logs/multiseed/cifar10/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,,20,0.4341,1.527052903175354,1,1.023618935890872
