method,dataset,sparsity,seed,split_manifest_path,cka_strength,cka_signal,round,test_accuracy,test_loss,evaluated,avg_train_loss
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,1,0.128,2.293493505859375,1,1.7813180484651314
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,2,0.1923,2.214865909767151,1,1.6260550618557015
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,3,0.2123,2.085118099594116,1,1.5213924072053695
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,4,0.2608,1.9778518844604491,1,1.4548405415385661
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,5,0.2888,1.9133320741653443,1,1.4071449384978323
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,6,0.3069,1.8706953132629394,1,1.3614004866342353
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,7,0.3306,1.8088380193710327,1,1.3177865056509923
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,8,0.351,1.75141586227417,1,1.2843449242957914
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,9,0.3611,1.713464268875122,1,1.2567486775378989
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,10,0.3638,1.7015772972106933,1,1.2292047865511193
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,11,0.3702,1.6854547887802125,1,1.2084413937799856
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,12,0.3903,1.6335556629180907,1,1.1860631840915392
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,13,0.3854,1.6376823534011842,1,1.1737548009410048
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,14,0.4083,1.6049522384643555,1,1.1527054045995078
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,15,0.4155,1.5736511573791503,1,1.1396807872526573
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,16,0.4204,1.558826922416687,1,1.125145125926143
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,17,0.4269,1.5427765233993531,1,1.111966520297407
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,18,0.4322,1.5181494987487794,1,1.1037991323507192
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,19,0.4205,1.584417880821228,1,1.0875325885336808
fedavg,cifar10,0.0,21,results/logs/multiseed/cifar10_drift_all/seed_21/splits/cifar10_split_seed21_clients5_alpha0p3_ref500.json,,,20,0.4405,1.5068119541168212,1,1.0787802506745465
