method,dataset,sparsity,seed,split_manifest_path,cka_strength,round,test_accuracy,test_loss,evaluated,avg_train_loss,pruned_weights,regrown_weights,mask_changes,total_sparsity,active_params,total_params,layer_sparsity,sparsity_conv1_weight,sparsity_conv2_weight,sparsity_conv3_weight,sparsity_fc1_weight,sparsity_fc2_weight
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,1,0.1,2.303272678375244,1,2.199392118545494,0,0,0,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,2,0.1214,2.3057695934295652,1,2.1272952699685335,37193,37193,74386,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,3,0.1455,2.411130382156372,1,1.7658589654089223,0,0,0,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,4,0.1706,2.3193606399536133,1,1.6731314496536447,37193,37193,74386,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,5,0.179,2.403336928939819,1,1.672062500575576,0,0,0,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,6,0.1815,2.402351430511475,1,1.6427560644511021,37193,37193,74386,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,7,0.1833,2.386429428100586,1,1.638880543535406,0,0,0,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,8,0.1834,2.4059095684051512,1,1.6275828426751224,37193,37193,74386,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,9,0.1873,2.3879269123077393,1,1.6217459075884386,0,0,0,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,10,0.1885,2.352747956085205,1,1.612423209060322,37193,37193,74386,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,11,0.1934,2.3062301330566406,1,1.6117576859912486,0,0,0,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,12,0.1931,2.3471306186676024,1,1.5961706211277933,37193,37193,74386,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,13,0.2061,2.299447847747803,1,1.5935240610127497,0,0,0,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,14,0.198,2.3106790256500243,1,1.581125246374294,37193,37193,74386,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
feddst,cifar10,0.7,100,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,15,0.2054,2.2556071151733397,1,1.5839445910357468,0,0,0,0.6999993547054876,185962,619872,conv1.weight:0.723380;conv2.weight:0.702962;conv3.weight:0.701280;fc1.weight:0.699663;fc2.weight:0.702734,0.7233796296296297,0.7029622395833333,0.7012803819444444,0.6996631622314453,0.702734375
