method,dataset,sparsity,seed,split_manifest_path,cka_strength,round,test_accuracy,test_loss,evaluated,avg_train_loss
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,1,0.1539,2.2887766647338865,1,1.8662318712557204
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,2,0.1883,2.180931357574463,1,1.6997239035259595
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,3,0.2174,2.052959561729431,1,1.5962930967735522
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,4,0.2446,2.0043519748687744,1,1.535272723807229
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,5,0.2847,1.923445340538025,1,1.490380594576248
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,6,0.3137,1.8463678092956544,1,1.443148539993498
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,7,0.3152,1.8210926944732666,1,1.397132132939618
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,8,0.3472,1.734543409729004,1,1.3520812598816072
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,9,0.3487,1.7163751401901246,1,1.3060149138708306
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,10,0.373,1.6455596143722535,1,1.2693535359291115
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,11,0.3756,1.6433467140197755,1,1.2408542104995612
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,12,0.4115,1.5740412996292115,1,1.2162126542414078
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,13,0.4069,1.5620005798339844,1,1.1903032576146753
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,14,0.4201,1.5395442625045777,1,1.1736147314936223
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,15,0.4304,1.5036184801101684,1,1.153179068100573
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,16,0.4319,1.51696275806427,1,1.1368141839648738
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,17,0.4344,1.4947855222702027,1,1.1248909913289427
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,18,0.4522,1.4539443752288819,1,1.1150007584420119
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,19,0.4442,1.4658375482559205,1,1.0963803043895297
fedavg,cifar10,0.0,42,results/logs/multiseed/cifar10_multiseed_fixed_5605136/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,20,0.4678,1.4293353170394898,1,1.0866471810678038
