suite_id,suite,run_index,total_runs,method,seed,sparsity,cka_strength,global_config,config,log_dir,checkpoint_dir,plot_dir,command,status
fashion_mnist_all_20260517_180855,multiseed,1,205,fedavg,42,,,configs/global_fashion_mnist.yaml,configs/fedavg_mnist.yaml,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/plots/multiseed/fashion_mnist_all_20260517_180855,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --global-config configs/global_fashion_mnist.yaml --config configs/fedavg_mnist.yaml --seed 42 --log-dir results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42 --checkpoint-dir results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42 --plot-dir results/plots/multiseed/fashion_mnist_all_20260517_180855,passed
fashion_mnist_all_20260517_180855,multiseed,2,205,sparse_fedavg,42,0.5,,configs/global_fashion_mnist.yaml,configs/sparse_fedavg_mnist.yaml,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/plots/multiseed/fashion_mnist_all_20260517_180855,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --global-config configs/global_fashion_mnist.yaml --config configs/sparse_fedavg_mnist.yaml --seed 42 --sparsity 0.5 --log-dir results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42 --checkpoint-dir results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42 --plot-dir results/plots/multiseed/fashion_mnist_all_20260517_180855,passed
fashion_mnist_all_20260517_180855,multiseed,3,205,feddst,42,0.5,,configs/global_fashion_mnist.yaml,configs/feddst_mnist.yaml,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/plots/multiseed/fashion_mnist_all_20260517_180855,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --global-config configs/global_fashion_mnist.yaml --config configs/feddst_mnist.yaml --seed 42 --sparsity 0.5 --log-dir results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42 --checkpoint-dir results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42 --plot-dir results/plots/multiseed/fashion_mnist_all_20260517_180855,passed
fashion_mnist_all_20260517_180855,multiseed,4,205,cka_feddst,42,0.5,,configs/global_fashion_mnist.yaml,configs/cka_feddst_mnist.yaml,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/plots/multiseed/fashion_mnist_all_20260517_180855,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --global-config configs/global_fashion_mnist.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.5 --log-dir results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42 --checkpoint-dir results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42 --plot-dir results/plots/multiseed/fashion_mnist_all_20260517_180855,passed
fashion_mnist_all_20260517_180855,multiseed,5,205,sparse_fedavg,42,0.7,,configs/global_fashion_mnist.yaml,configs/sparse_fedavg_mnist.yaml,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/plots/multiseed/fashion_mnist_all_20260517_180855,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --global-config configs/global_fashion_mnist.yaml --config configs/sparse_fedavg_mnist.yaml --seed 42 --sparsity 0.7 --log-dir results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42 --checkpoint-dir results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42 --plot-dir results/plots/multiseed/fashion_mnist_all_20260517_180855,passed
fashion_mnist_all_20260517_180855,multiseed,6,205,feddst,42,0.7,,configs/global_fashion_mnist.yaml,configs/feddst_mnist.yaml,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/plots/multiseed/fashion_mnist_all_20260517_180855,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --global-config configs/global_fashion_mnist.yaml --config configs/feddst_mnist.yaml --seed 42 --sparsity 0.7 --log-dir results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42 --checkpoint-dir results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42 --plot-dir results/plots/multiseed/fashion_mnist_all_20260517_180855,passed
fashion_mnist_all_20260517_180855,multiseed,7,205,cka_feddst,42,0.7,,configs/global_fashion_mnist.yaml,configs/cka_feddst_mnist.yaml,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/plots/multiseed/fashion_mnist_all_20260517_180855,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --global-config configs/global_fashion_mnist.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.7 --log-dir results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42 --checkpoint-dir results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42 --plot-dir results/plots/multiseed/fashion_mnist_all_20260517_180855,passed
fashion_mnist_all_20260517_180855,multiseed,8,205,sparse_fedavg,42,0.8,,configs/global_fashion_mnist.yaml,configs/sparse_fedavg_mnist.yaml,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/plots/multiseed/fashion_mnist_all_20260517_180855,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --global-config configs/global_fashion_mnist.yaml --config configs/sparse_fedavg_mnist.yaml --seed 42 --sparsity 0.8 --log-dir results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42 --checkpoint-dir results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42 --plot-dir results/plots/multiseed/fashion_mnist_all_20260517_180855,passed
fashion_mnist_all_20260517_180855,multiseed,9,205,feddst,42,0.8,,configs/global_fashion_mnist.yaml,configs/feddst_mnist.yaml,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/plots/multiseed/fashion_mnist_all_20260517_180855,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --global-config configs/global_fashion_mnist.yaml --config configs/feddst_mnist.yaml --seed 42 --sparsity 0.8 --log-dir results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42 --checkpoint-dir results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42 --plot-dir results/plots/multiseed/fashion_mnist_all_20260517_180855,passed
fashion_mnist_all_20260517_180855,multiseed,10,205,cka_feddst,42,0.8,,configs/global_fashion_mnist.yaml,configs/cka_feddst_mnist.yaml,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42,results/plots/multiseed/fashion_mnist_all_20260517_180855,/mnt/aiongpfs/users/dsen/cka-fed-dynamic-sparsity/.venv/bin/python -m src.train --global-config configs/global_fashion_mnist.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.8 --log-dir results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_42 --checkpoint-dir results/checkpoints/multiseed/fashion_mnist_all_20260517_180855/seed_42 --plot-dir results/plots/multiseed/fashion_mnist_all_20260517_180855,passed
