method,dataset,sparsity,seed,split_manifest_path,cka_strength,round,test_accuracy,test_loss,evaluated,avg_train_loss
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,1,0.4387,1.7510204774856568,1,1.3907832859700742
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,2,0.5112,1.2355019933700562,1,0.6548510457910472
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,3,0.6283,1.0398927836418153,1,0.5114221640020908
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,4,0.6651,0.8953822872161865,1,0.46431236226725264
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,5,0.6798,0.8773690949440003,1,0.4360479927234613
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,6,0.7045,0.7870397307872772,1,0.41664949959106623
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,7,0.728,0.7495673016071319,1,0.3997576884633821
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,8,0.7181,0.7667395933151245,1,0.38931979552612184
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,9,0.7364,0.7262876683235169,1,0.3782150724571958
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,10,0.7428,0.7176772604942322,1,0.3703947263889413
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,11,0.7386,0.7413711800575257,1,0.361221740762376
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,12,0.7505,0.6926630384922028,1,0.3533183911906549
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,13,0.7527,0.6947758809566498,1,0.34685318762937994
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,14,0.7482,0.6774545068740845,1,0.34019813686637296
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,15,0.757,0.6648703379631042,1,0.3343869563986401
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,16,0.7589,0.695485541009903,1,0.32851596933393973
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,17,0.7668,0.6474607928276062,1,0.3230502940959805
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,18,0.7688,0.6226669753074646,1,0.3183478599158194
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,19,0.7743,0.6146706317424774,1,0.3137046048365359
fedavg,fashion_mnist,0.0,7,results/logs/multiseed/fashion_mnist_all_20260517_180855/seed_7/splits/fashion_mnist_split_seed7_clients5_alpha0p3_ref200.json,,20,0.7714,0.6256427001953125,1,0.30905596955651327
