method,dataset,sparsity,seed,split_manifest_path,cka_strength,round,test_accuracy,test_loss,evaluated,avg_train_loss,pruned_weights,regrown_weights,mask_changes,total_sparsity,active_params,total_params,layer_sparsity,sparsity_conv1_weight,sparsity_conv2_weight,sparsity_fc1_weight,sparsity_fc2_weight
feddst,mnist,0.5,100,results/logs/multiseed/mnist_all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,1,0.3459,2.183658111190796,1,1.781558918538301,0,0,0,0.5,210704,421408,conv1.weight:0.572917;conv2.weight:0.502496;fc1.weight:0.499786;fc2.weight:0.514844,0.5729166666666667,0.5024956597222222,0.49978575414540816,0.51484375
feddst,mnist,0.5,100,results/logs/multiseed/mnist_all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,2,0.4221,1.695454532432556,1,0.9994943532975621,42141,42141,84282,0.5,210704,421408,conv1.weight:0.572917;conv2.weight:0.502496;fc1.weight:0.499786;fc2.weight:0.514844,0.5729166666666667,0.5024956597222222,0.49978575414540816,0.51484375
feddst,mnist,0.5,100,results/logs/multiseed/mnist_all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,3,0.6802,0.999939341545105,1,0.5108141289830807,0,0,0,0.5,210704,421408,conv1.weight:0.572917;conv2.weight:0.502496;fc1.weight:0.499786;fc2.weight:0.514844,0.5729166666666667,0.5024956597222222,0.49978575414540816,0.51484375
feddst,mnist,0.5,100,results/logs/multiseed/mnist_all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,4,0.7034,0.8255850170135498,1,0.36425514182518165,42141,42141,84282,0.5,210704,421408,conv1.weight:0.572917;conv2.weight:0.502496;fc1.weight:0.499786;fc2.weight:0.514844,0.5729166666666667,0.5024956597222222,0.49978575414540816,0.51484375
feddst,mnist,0.5,100,results/logs/multiseed/mnist_all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,5,0.7834,0.614872436952591,1,0.3033552151529686,0,0,0,0.5,210704,421408,conv1.weight:0.572917;conv2.weight:0.502496;fc1.weight:0.499786;fc2.weight:0.514844,0.5729166666666667,0.5024956597222222,0.49978575414540816,0.51484375
feddst,mnist,0.5,100,results/logs/multiseed/mnist_all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,6,0.7835,0.6177504155158997,1,0.2679947014688748,42141,42141,84282,0.5,210704,421408,conv1.weight:0.572917;conv2.weight:0.502496;fc1.weight:0.499786;fc2.weight:0.514844,0.5729166666666667,0.5024956597222222,0.49978575414540816,0.51484375
feddst,mnist,0.5,100,results/logs/multiseed/mnist_all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,7,0.8375,0.49542790117263796,1,0.26260320531447295,0,0,0,0.5,210704,421408,conv1.weight:0.572917;conv2.weight:0.502496;fc1.weight:0.499786;fc2.weight:0.514844,0.5729166666666667,0.5024956597222222,0.49978575414540816,0.51484375
feddst,mnist,0.5,100,results/logs/multiseed/mnist_all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,8,0.8438,0.46546535210609435,1,0.24269544263921655,42141,42141,84282,0.5,210704,421408,conv1.weight:0.572917;conv2.weight:0.502496;fc1.weight:0.499786;fc2.weight:0.514844,0.5729166666666667,0.5024956597222222,0.49978575414540816,0.51484375
feddst,mnist,0.5,100,results/logs/multiseed/mnist_all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,9,0.8605,0.43012672667503354,1,0.22298933524949896,0,0,0,0.5,210704,421408,conv1.weight:0.572917;conv2.weight:0.502496;fc1.weight:0.499786;fc2.weight:0.514844,0.5729166666666667,0.5024956597222222,0.49978575414540816,0.51484375
feddst,mnist,0.5,100,results/logs/multiseed/mnist_all_20260516_024344/seed_100/splits/mnist_split_seed100_clients5_alpha0p3_ref200.json,,10,0.8652,0.4088960732460022,1,0.21674715212082185,42141,42141,84282,0.5,210704,421408,conv1.weight:0.572917;conv2.weight:0.502496;fc1.weight:0.499786;fc2.weight:0.514844,0.5729166666666667,0.5024956597222222,0.49978575414540816,0.51484375
