method,dataset,sparsity,seed,split_manifest_path,cka_strength,round,test_accuracy,test_loss,evaluated,avg_train_loss
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,1,0.2843,2.0746103553771973,1,1.503982059742296
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,2,0.4966,1.3177744483947753,1,0.6841413913766876
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,3,0.7412,0.7223423021316528,1,0.38994621996347323
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,4,0.8215,0.5057993960380555,1,0.303272096885362
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,5,0.7964,0.55912270860672,1,0.26241533271918527
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,6,0.846,0.46204668946266175,1,0.23862906624142544
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,7,0.8866,0.36654522738456724,1,0.21715573169532418
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,8,0.8997,0.3256940375328064,1,0.19967004480469588
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,9,0.8728,0.375287940120697,1,0.18736545187394668
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,10,0.902,0.3048916394472122,1,0.17584252063088418
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,11,0.9076,0.29818241317272187,1,0.16356869851210995
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,12,0.914,0.2733389272451401,1,0.15453366822852788
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,13,0.9162,0.26662244350910186,1,0.14627961295192754
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,14,0.9244,0.24634384546279908,1,0.13784417893625422
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,15,0.9168,0.2672582325696945,1,0.13254875283154122
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,16,0.9198,0.24945775558948516,1,0.1255886310547665
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,17,0.9288,0.22681839687824248,1,0.11922400270355281
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,18,0.9292,0.2258556122303009,1,0.11745712815714612
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,19,0.9214,0.23377523567676545,1,0.10943042271592993
fedavg,mnist,0.0,42,results/logs/multiseed/mnist_all_20260516_024344/seed_42/splits/mnist_split_seed42_clients5_alpha0p3_ref200.json,,20,0.9329,0.20966153542995453,1,0.10433261983109059
