round,test_accuracy,test_loss,avg_train_loss,total_sparsity,active_params,total_params,layer_sparsity,sparsity_conv1_weight,sparsity_conv2_weight,sparsity_fc1_weight,sparsity_fc2_weight
1,0.1996,2.2886694732666015,1.8600052638471127,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
2,0.4216,1.9504415031433104,1.5613354854226111,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
3,0.6139,1.2874563428878785,1.1649432365531722,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
4,0.6694,0.9739568626403808,0.7880766467784842,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
5,0.7637,0.6262918455123901,0.4774373871928702,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
6,0.827,0.5289273248672486,0.38590785496508084,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
7,0.8311,0.47651717567443846,0.38584276397836703,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
8,0.8997,0.33467129468917844,0.2651460133033494,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
9,0.9125,0.2975391011714935,0.24185454145092516,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
10,0.8997,0.3488945858001709,0.26480704754814505,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
11,0.9155,0.2747146997451782,0.20333262674423555,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
12,0.9292,0.23713583450317383,0.21754210485614217,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
13,0.9252,0.2442810601234436,0.19272845265517632,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
14,0.9409,0.19866075358390808,0.16531142847749095,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
15,0.9318,0.2269152910709381,0.15867389807850124,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
16,0.9473,0.17745152339935302,0.16176186857819558,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
17,0.9407,0.19311985311508179,0.1317053361400962,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
18,0.9504,0.16161663928031922,0.13538426840205986,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
19,0.951,0.1536401176929474,0.10075166213717311,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
20,0.9434,0.1779685256242752,0.11037348869523654,0.7999990508011239,84282,421408,conv1.weight:0.822917;conv2.weight:0.798394;fc1.weight:0.800021;fc2.weight:0.810937,0.8229166666666666,0.7983940972222222,0.8000214245854592,0.8109375
